Year,VanIcevMpg,VanHevMpg,VanBevMpkwh,BusIcevMpg,BusHevMpg,BusBevMpkwh,RailIcevMpg,RailHevMpg,RailEvMpkwh
1990,5.547619047619049,11.30000000000001,0.9600000000000002,3.7090476190476185,5.900000000000001,0.608,1.6000000000000003,1.6000000000000003,0.09604523809523811
1991,5.471428571428572,11.300000000000008,0.9600000000000003,3.718571428571429,5.900000000000002,0.608,1.6000000000000005,1.6000000000000005,0.09675285714285717
1992,5.442857142857145,11.300000000000006,0.9600000000000003,3.727142857142858,5.900000000000003,0.608,1.6000000000000008,1.6000000000000008,0.09760571428571432
1993,5.461904761904766,11.300000000000008,0.9600000000000005,3.734761904761907,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.0986038095238096
1994,5.480952380952385,11.300000000000008,0.9600000000000005,3.7423809523809544,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.09960190476190482
1995,5.614285714285717,11.300000000000008,0.9600000000000005,3.747714285714288,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10094857142857148
1996,5.880952380952385,11.300000000000008,0.9600000000000005,3.750380952380955,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10270190476190481
1997,6.261904761904766,11.300000000000008,0.9600000000000005,3.750761904761907,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10480380952380958
1998,6.738095238095242,11.300000000000008,0.9600000000000005,3.7501904761904785,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10710476190476198
1999,7.119047619047623,11.300000000000008,0.9600000000000005,3.7500952380952404,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.10925238095238102
2000,7.38571428571429,11.300000000000008,0.9600000000000005,3.7494285714285738,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.11132571428571436
2001,7.519047619047623,11.300000000000008,0.9600000000000005,3.7480952380952406,5.900000000000004,0.6080000000000003,1.600000000000001,1.600000000000001,0.11331238095238103
