Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Wasco,1995,5041,1596,2111,8094,2032,3958
Washington,1995,82698,25174,51292,149193,24518,37894
Wheeler,1995,267,98,112,535,201,352
Yamhill,1995,17891,6158,9299,26818,5665,9780
Baker,2000,3209,1195,1269,5834,2026,3199
Benton,2000,14365,8628,17879,28500,6078,8676
Clackamas,2000,73087,24152,38093,134552,32206,37585
Clatsop,2000,6663,2883,3838,12993,3659,5560
Columbia,2000,9723,3213,4290,17008,4364,5073
Coos,2000,10908,4432,5693,22067,7569,12027
Crook,2000,4134,1425,2103,6695,2147,2842
Curry,2000,3255,1158,1337,6749,3011,5613
Deschutes,2000,23755,7934,13485,44498,11720,15225
Douglas,2000,19377,7231,9788,34826,11319,17945
Gilliam,2000,350,129,155,697,217,363
Grant,2000,1590,613,606,2810,948,1334
Harney,2000,1636,509,673,2817,836,1142
Hood River,2000,4751,1490,2515,7496,1608,2627
Jackson,2000,36911,13275,21254,65797,18558,29620
Jefferson,2000,4750,1370,2205,6406,1994,2388
Josephine,2000,13577,4737,6226,24612,8633,14567
Klamath,2000,13623,4576,7409,22236,6557,9540
Lake,2000,1445,514,599,2640,897,1316
Lane,2000,60233,24632,49253,117096,29236,43018
Lincoln,2000,7535,2920,3816,15947,5446,8678
Linn,2000,20172,6891,11024,33404,9238,13726
Malheur,2000,7193,2492,4370,10493,2680,4317
Marion,2000,65449,22292,41261,100502,23298,35486
Morrow,2000,2832,898,1347,3814,995,1173
Multnomah,2000,123515,41865,109231,262692,50819,73462
Polk,2000,12976,5229,8354,21261,5563,9278
Sherman,2000,407,147,130,675,213,352
Tillamook,2000,4267,1649,2122,8444,2983,4799
Umatilla,2000,16170,5516,9324,24902,6090,8691
Union,2000,4830,2158,3312,8254,2371,3625
Wallowa,2000,1377,509,484,2623,862,1365
Wasco,2000,4904,1690,2422,8395,2430,3977
Washington,2000,101764,29736,68468,176790,32245,39604
Wheeler,2000,259,111,79,482,254,360
Yamhill,2000,18860,7182,11895,30546,6809,10002
Baker,2005,2759,1280,1609,5353,2240,3259
Benton,2005,13607,6926,22110,28897,8760,9195
Clackamas,2005,71475,26533,43865,133728,44866,40833
Clatsop,2005,6285,2565,4864,12443,4788,5696
Columbia,2005,9129,3760,5241,16754,5855,5482
Coos,2005,9910,4251,6902,20454,8944,12233
Crook,2005,4448,1706,2790,7372,2958,3501
Curry,2005,2817,1302,1718,6097,3311,5945
Deschutes,2005,27111,10132,17079,51631,18066,19470
Douglas,2005,18017,7497,11848,33075,13619,18850
Gilliam,2005,305,143,177,655,240,370
Grant,2005,1339,565,771,2527,1087,1397
Harney,2005,1412,603,768,2676,966,1235
Hood River,2005,4691,1557,2537,7685,2079,2631
Jackson,2005,36519,14127,25112,65960,25128,31352
Jefferson,2005,4730,1670,2394,6723,2316,2767
Josephine,2005,12843,5360,7618,23964,10893,15283
Klamath,2005,12919,4834,8117,21421,7991,9773
Lake,2005,1264,565,720,2520,1036,1400
Lane,2005,57795,23314,54889,116147,39146,44793
Lincoln,2005,6812,2858,4603,14505,6702,8924
Linn,2005,19974,7111,12125,33009,11501,14132
Malheur,2005,6951,2309,4514,10652,3100,4274
Marion,2005,67946,22115,44137,104222,30384,35968
Morrow,2005,2915,924,1572,3994,1221,1319
Multnomah,2005,129869,41133,99664,277854,71658,72648
Polk,2005,12629,4961,10665,20754,7273,9388
Sherman,2005,298,184,187,596,246,369
Tillamook,2005,4045,1641,2721,8012,3651,5135
Umatilla,2005,16094,5250,9956,24976,7350,8769
Union,2005,4636,1867,4147,7629,2946,3724
Wallowa,2005,1078,591,641,2305,1066,1449
Wasco,2005,4678,1701,2700,7837,3079,3939
Washington,2005,110226,32050,67486,191528,45485,43011
Wheeler,2005,201,116,128,448,246,411
Yamhill,2005,18606,6801,14248,31594,8981,10081
Baker,2010,2596,959,1540,4938,2656,3493
Benton,2010,13246,9413,20777,26892,11560,11211
Clackamas,2010,72392,26015,40587,131705,54061,51233
Clatsop,2010,6230,2370,4593,11649,6156,6068
Columbia,2010,9521,3370,5043,17057,7376,7060
Coos,2010,9720,3835,6628,19075,10394,13381
Crook,2010,3853,1258,1979,6569,3264,4094
Curry,2010,2787,1102,1787,6061,4267,6348
Deschutes,2010,29633,9595,18292,54384,22587,23411
Douglas,2010,17907,6819,11413,32467,16955,22126
Gilliam,2010,277,109,140,617,320,405
Grant,2010,1170,431,637,2200,1312,1707
Harney,2010,1301,525,737,2338,1170,1371
Hood River,2010,4747,1539,2574,7956,2748,2817
Jackson,2010,37235,13529,25352,64531,30634,36059
Jefferson,2010,4511,1538,2511,6923,2869,3396
Josephine,2010,12941,4921,7744,23122,12672,17374
Klamath,2010,12269,4575,8066,20507,9837,11248
Lake,2010,1158,479,741,2599,1324,1585
Lane,2010,57656,24794,54170,112625,49960,52803
Lincoln,2010,6500,2393,4475,13968,8746,10049
Linn,2010,21438,7165,12867,34111,14456,16191
Malheur,2010,6602,2251,4178,10074,3612,4625
Marion,2010,69672,23792,44356,103325,37105,40898
Morrow,2010,2619,893,1283,3574,1423,1379
Multnomah,2010,127423,41436,123046,278236,87769,77424
Polk,2010,15119,5950,10729,22989,9881,10824
Sherman,2010,286,94,169,556,270,387
Tillamook,2010,3934,1478,2450,7641,4380,5374
Umatilla,2010,16585,5621,10238,24586,9204,9763
Union,2010,4811,1909,3566,7500,3720,4300
Wallowa,2010,1096,317,656,2009,1331,1593
Wasco,2010,4849,1676,2897,7683,3745,4383
Washington,2010,113829,34172,72678,197655,58268,53108
Wheeler,2010,212,76,94,365,249,441
Yamhill,2010,20258,7757,13350,32993,11981,13063
Baker,2015,2651,835,1448,4660,2747,3891
Benton,2015,12568,9476,21788,26114,12079,13537
Clackamas,2015,72324,26624,44904,132726,58812,61594
Clatsop,2015,6117,2202,4442,11139,6326,7374
Columbia,2015,9100,3322,5620,16385,8031,8858
Coos,2015,9561,3152,6705,17599,10860,15420
Crook,2015,3546,1315,1582,6098,3612,4980
Curry,2015,2672,990,1602,5814,4529,6911
Deschutes,2015,30426,11151,17545,56128,24302,31050
Douglas,2015,17518,6681,11092,31411,18627,24720
Gilliam,2015,291,96,158,557,363,490
Grant,2015,1001,420,672,1956,1359,2003
Harney,2015,1308,396,782,2231,1201,1504
Hood River,2015,4505,1592,2800,8069,3350,3357
Jackson,2015,36581,12977,24886,64445,33122,43322
Jefferson,2015,4321,1509,2458,7064,3243,4207
Josephine,2015,12502,4828,7344,21927,13424,19820
Klamath,2015,11439,4141,8194,19490,10469,13307
Lake,2015,1238,362,795,2376,1331,1814
Lane,2015,55875,25947,56414,106821,53374,63106
Lincoln,2015,6576,2003,4333,13210,9257,12207
Linn,2015,21101,7247,13719,33749,15395,19026
Malheur,2015,6601,2092,3958,10359,3920,5101
Marion,2015,70331,23336,47763,104996,40474,48060
Morrow,2015,2486,881,1414,3555,1658,1671
Multnomah,2015,131395,39651,122843,298556,94853,89411
Polk,2015,15334,5443,12111,23857,10352,13104
Sherman,2015,254,106,172,481,310,409
Tillamook,2015,3907,1233,2463,7196,4722,6208
Umatilla,2015,16701,5366,10909,24948,9865,11094
Union,2015,5173,1604,4008,7385,3671,5120
Wallowa,2015,1086,326,592,1808,1426,1829
Wasco,2015,4897,1554,2905,7515,3949,5214
Washington,2015,117525,35942,76448,209377,66179,65608
Wheeler,2015,179,77,101,351,256,441
Yamhill,2015,19764,7238,15233,33300,13533,15454
Baker,2020,2422,782,1177,4262,2533,4577
Benton,2020,11687,8829,20717,25568,10385,17478
Clackamas,2020,73416,28415,42774,141086,61396,91112
Clatsop,2020,6252,2216,3776,11141,5791,9076
Columbia,2020,8568,2930,4141,17149,7978,10855
Coos,2020,9899,3233,5695,17736,9546,17684
Crook,2020,3815,1176,1901,6453,3562,6617
Curry,2020,2711,939,1436,5944,4176,7961
Deschutes,2020,35149,11443,21632,66912,25618,39036
Douglas,2020,17651,6256,10038,31541,16752,31761
Gilliam,2020,252,73,95,454,352,570
Grant,2020,971,283,416,1681,1215,2500
Harney,2020,1240,412,582,2059,1122,1961
Hood River,2020,4612,1702,2732,8061,3307,3989
Jackson,2020,37715,13162,23919,67498,30475,52209
Jefferson,2020,4364,1406,2468,7342,3538,5019
Josephine,2020,13517,4692,7334,24571,13077,25080
Klamath,2020,11715,4080,7372,20082,9538,15738
Lake,2020,1097,390,539,2669,1329,2229
Lane,2020,54056,24070,58330,113729,50595,80584
Lincoln,2020,6232,2286,4030,13256,7868,14632
Linn,2020,23441,7713,14879,39759,16449,25079
Malheur,2020,6240,2044,4041,9181,3626,5848
Marion,2020,71580,23978,46669,108701,40454,57739
Morrow,2020,2588,872,1540,3664,1591,2072
Multnomah,2020,132456,46597,129166,300269,99917,123057
Polk,2020,16344,6263,11032,24903,9522,15743
Sherman,2020,323,70,94,481,276,455
Tillamook,2020,4107,1356,2027,7179,4314,7090
Umatilla,2020,16108,5460,10194,24187,9685,13054
Union,2020,4858,1908,2968,7177,3511,5988
Wallowa,2020,1095,289,325,1797,1104,2271
Wasco,2020,5036,1526,2757,7581,3683,5897
Washington,2020,123177,39882,80491,223970,68095,97124
Wheeler,2020,201,62,79,344,227,440
Yamhill,2020,19176,8002,13579,32097,13722,19332
Baker,2025,2280,807,1081,4191,2181,5018
Benton,2025,11074,9652,30621,21718,9173,19019
Clackamas,2025,73359,27543,44101,140857,55732,106827
Clatsop,2025,6051,2316,3704,11456,5156,10121
Columbia,2025,8098,3115,4236,17142,7728,12658
Coos,2025,10047,3092,5346,17489,8717,19201
Crook,2025,4016,1073,1981,6513,3472,7736
Curry,2025,2825,837,1343,6145,4035,8337
Deschutes,2025,36544,12640,24470,73105,26982,46965
Douglas,2025,17866,6031,10172,31531,15406,34806
Gilliam,2025,233,76,89,428,284,658
Grant,2025,888,297,376,1608,950,2786
Harney,2025,1286,380,543,2016,971,2182
Hood River,2025,4612,1590,2956,8268,3301,4752
Jackson,2025,39275,12635,24187,70921,29402,58644
Jefferson,2025,4455,1281,2412,7565,3615,5942
Josephine,2025,13988,4355,7045,25249,12284,27253
Klamath,2025,12149,3694,7098,19977,8959,17323
Lake,2025,1113,336,483,2697,1279,2417
Lane,2025,54558,24571,69516,114842,44605,89648
Lincoln,2025,6269,2405,4222,13340,6987,17656
Linn,2025,23392,8417,14254,42929,16097,28941
Malheur,2025,6141,1962,3877,9151,3383,6373
Marion,2025,69228,25446,46571,117580,39936,71219
Morrow,2025,2512,888,1417,3927,1401,2467
Multnomah,2025,133474,45882,130338,304843,99987,142493
Polk,2025,16026,6559,15483,26644,9626,18525
Sherman,2025,310,82,86,485,202,511
Tillamook,2025,3935,1423,1977,7408,3798,7879
Umatilla,2025,15681,5670,10297,25008,9217,14861
Union,2025,4655,2020,2986,7244,3092,6701
Wallowa,2025,988,339,328,1790,860,2464
Wasco,2025,5014,1666,2741,7848,3311,6563
Washington,2025,109622,39217,90794,227343,73815,118260
Wheeler,2025,184,84,80,337,201,437
Yamhill,2025,18527,8214,14557,33526,13222,22732
Baker,2030,2244,775,1172,4300,1818,5092
Benton,2030,10436,9434,37044,22710,8852,20401
Clackamas,2030,78480,29096,47175,158108,66452,129299
Clatsop,2030,5837,2331,3842,11700,4787,10761
Columbia,2030,8088,2799,4425,17889,7432,14064
Coos,2030,9612,3600,4835,17781,8187,19836
Crook,2030,4222,1185,1930,6893,3550,8783
Curry,2030,2892,934,1257,6372,3911,8606
Deschutes,2030,37167,14992,26359,80642,29673,55182
Douglas,2030,17682,6815,10557,32337,15067,36751
Gilliam,2030,212,86,102,426,227,706
Grant,2030,828,288,374,1584,784,2911
Harney,2030,1304,402,494,2010,861,2260
Hood River,2030,4584,1654,3019,8658,3288,5356
Jackson,2030,39436,14681,23785,74867,30418,63422
Jefferson,2030,4285,1529,2297,7859,3646,6756
Josephine,2030,14328,4697,6799,26320,12214,28833
Klamath,2030,12208,3963,6724,20030,8536,18081
Lake,2030,1073,377,444,2667,1291,2566
Lane,2030,53561,24922,70898,122740,43534,96388
Lincoln,2030,6084,2338,4756,13674,6456,19032
Linn,2030,22810,8677,15826,44341,15664,31769
Malheur,2030,6152,1916,3836,9112,3104,6676
Marion,2030,67775,24611,50954,121196,40406,80421
Morrow,2030,2544,811,1338,4105,1465,2693
Multnomah,2030,134493,45167,131510,309418,100058,161929
Polk,2030,16610,7246,15139,31672,10011,20649
Sherman,2030,272,102,97,492,150,536
Tillamook,2030,3868,1375,2167,7563,3630,8204
Umatilla,2030,15634,5608,10783,25828,8904,16184
Union,2030,4537,1940,3239,7254,2912,7096
Wallowa,2030,930,313,380,1847,703,2519
Wasco,2030,5034,1687,2869,8217,3114,6848
Washington,2030,136260,42166,90899,254162,73557,137211
Wheeler,2030,181,73,86,348,168,439
Yamhill,2030,19146,7468,15452,35961,13164,25463
Baker,2035,2280,754,1240,4441,1643,4912
Benton,2035,11068,9312,37906,27354,8771,20933
Clackamas,2035,74595,27448,48476,163002,56401,134229
Clatsop,2035,5787,2237,3955,11932,5102,10616
Columbia,2035,8202,2891,4474,18516,7374,15016
Coos,2035,9368,3414,5172,17558,8113,19923
Crook,2035,4260,1419,1991,7323,3683,9500
Curry,2035,2820,1056,1276,6403,4023,8732
Deschutes,2035,40261,13828,30306,87175,33047,62221
Douglas,2035,17661,6742,11477,33718,15169,37500
Gilliam,2035,218,73,120,426,218,704
Grant,2035,818,264,395,1573,775,2834
Harney,2035,1250,467,493,2005,803,2208
Hood River,2035,4729,1561,2991,9271,3295,5817
Jackson,2035,40340,14452,25519,77530,32897,66517
Jefferson,2035,4275,1404,2412,8107,3697,7426
Josephine,2035,14096,5316,6943,27132,12673,29514
Klamath,2035,11997,4210,6720,19944,8425,18306
Lake,2035,1017,399,444,2624,1348,2647
Lane,2035,55507,23259,72674,127396,47234,98350
Lincoln,2035,6266,2037,4811,13864,6985,19184
Linn,2035,22107,8683,16664,46096,16320,33030
Malheur,2035,6199,1890,3740,9030,3159,6654
Marion,2035,65301,25561,52297,124672,44045,85844
Morrow,2035,2561,847,1312,4218,1585,2819
Multnomah,2035,139735,47205,132118,318403,109271,179797
Polk,2035,17957,7015,16838,34585,11628,22017
Sherman,2035,249,95,124,494,168,503
Tillamook,2035,3868,1386,2223,7699,3881,8123
Umatilla,2035,16299,5133,11032,26849,9065,16712
Union,2035,4523,1896,3321,7352,3065,7101
Wallowa,2035,901,305,404,1876,743,2380
Wasco,2035,5135,1708,3056,8506,3193,6854
Washington,2035,124968,36585,96445,267651,78860,157435
Wheeler,2035,181,68,102,347,163,408
Yamhill,2035,20090,7618,15215,38333,14505,27092
Baker,2040,2364,733,1201,4446,1899,4509
Benton,2040,13506,8650,37018,31809,8691,20803
Clackamas,2040,90469,33795,51894,181021,85480,175673
Clatsop,2040,5842,2145,3875,11863,5851,10431
Columbia,2040,8408,2902,4385,18765,8431,15310
Coos,2040,9233,3335,5452,16913,8652,19477
Crook,2040,4419,1387,2306,7457,4063,9936
Curry,2040,2783,1030,1442,6362,4309,8597
Deschutes,2040,43598,14938,31644,93327,37285,68431
Douglas,2040,18015,6697,12149,34891,15684,37730
Gilliam,2040,238,67,119,429,243,663
Grant,2040,832,249,381,1513,872,2716
Harney,2040,1238,437,552,1974,795,2109
Hood River,2040,4900,1579,3026,9674,3444,6097
Jackson,2040,41582,14658,27309,78999,35328,69032
Jefferson,2040,4285,1405,2553,8188,3878,7834
Josephine,2040,14194,5146,7722,27146,13890,29706
Klamath,2040,11865,4194,7209,19352,8863,18022
Lake,2040,1006,370,490,2427,1478,2743
Lane,2040,58762,22640,71547,131688,51893,98313
Lincoln,2040,6363,2144,4436,13965,7914,18602
Linn,2040,21939,8322,16916,47105,18290,33556
Malheur,2040,6180,1947,3681,9048,3180,6476
Marion,2040,65225,23805,52405,128888,48062,89430
Morrow,2040,2569,860,1300,4258,1704,3005
Multnomah,2040,144977,49244,132727,327388,118484,197665
Polk,2040,19515,7370,17428,37557,14098,23216
Sherman,2040,253,79,135,473,219,463
Tillamook,2040,3996,1308,2211,7652,4407,7993
Umatilla,2040,16815,5371,10550,27771,9617,16949
Union,2040,4630,1817,3261,7270,3485,7016
Wallowa,2040,938,268,384,1822,943,2187
Wasco,2040,5344,1663,3100,8773,3520,6694
Washington,2040,150680,47169,95544,278353,88576,175407
Wheeler,2040,183,67,93,343,192,371
Yamhill,2040,21109,7779,14745,41432,15551,28312
Baker,2045,2436,750,1167,4473,2113,4121
Benton,2045,16259,8910,35269,36065,7772,20215
Clackamas,2045,79018,26945,49481,184921,67020,150003
Clatsop,2045,5890,2139,3717,11844,6373,10452
Columbia,2045,8582,2988,4478,18912,9184,15639
Coos,2045,9241,3218,5246,16690,8998,19138
Crook,2045,4650,1405,2476,7714,4387,10249
Curry,2045,2800,1006,1514,6162,4557,8698
Deschutes,2045,46698,16250,31328,99966,41760,74510
Douglas,2045,18563,6678,12004,36587,16516,37506
Gilliam,2045,255,71,104,458,240,629
Grant,2045,843,254,359,1517,925,2577
Harney,2045,1245,426,578,1896,877,1974
Hood River,2045,5033,1643,2966,10251,3539,6267
Jackson,2045,42834,15079,27264,80458,38089,72043
Jefferson,2045,4328,1401,2436,8335,4167,8155
Josephine,2045,14551,5076,8056,26953,15185,29979
Klamath,2045,11955,4092,7418,19018,9143,17806
Lake,2045,1030,346,490,2272,1563,2821
Lane,2045,60869,24095,68705,138726,51315,100034
Lincoln,2045,6454,2152,4240,13990,8170,18490
Linn,2045,22341,8019,16565,46840,21398,34129
Malheur,2045,6124,1978,3715,8997,3092,6408
Marion,2045,66533,23025,51575,130506,51198,93487
Morrow,2045,2570,883,1352,4380,1710,3143
Multnomah,2045,148438,50839,136973,334529,119326,213268
Polk,2045,20817,8177,17539,42331,14685,25232
Sherman,2045,271,71,118,470,257,429
Tillamook,2045,4109,1341,2158,7772,4555,8050
Umatilla,2045,17058,5649,10323,28819,9971,17073
Union,2045,4759,1816,3156,7434,3533,6973
Wallowa,2045,985,268,357,1801,1045,2062
Wasco,2045,5517,1724,3074,8956,3836,6616
Washington,2045,139028,44097,95668,305505,88763,185242
Wheeler,2045,185,68,88,331,216,343
Yamhill,2045,21678,8360,15029,44082,15441,30108
Baker,2050,2508,768,1133,4500,2326,3733
Benton,2050,19012,9171,33520,40320,6852,19627
Clackamas,2050,88565,33557,52539,179871,82104,196215
Clatsop,2050,5937,2133,3560,11826,6894,10474
Columbia,2050,8757,3073,4570,19060,9937,15967
Coos,2050,9249,3102,5040,16468,9344,18798
Crook,2050,4880,1422,2647,7971,4710,10562
Curry,2050,2818,982,1586,5962,4804,8799
Deschutes,2050,49798,17563,31012,106605,46234,80590
Douglas,2050,19111,6659,11860,38283,17349,37282
Gilliam,2050,273,74,89,486,237,595
Grant,2050,855,258,336,1521,978,2438
Harney,2050,1251,415,604,1817,960,1840
Hood River,2050,5166,1708,2905,10828,3635,6437
Jackson,2050,44086,15500,27219,81918,40849,75055
Jefferson,2050,4370,1397,2320,8482,4457,8476
Josephine,2050,14909,5006,8390,26760,16479,30251
Klamath,2050,12044,3990,7627,18683,9424,17591
Lake,2050,1054,322,489,2117,1647,2899
Lane,2050,62977,25550,65863,145763,50736,101755
Lincoln,2050,6546,2160,4044,14015,8426,18377
Linn,2050,22744,7717,16214,46575,24506,34703
Malheur,2050,6067,2009,3749,8947,3005,6340
Marion,2050,67841,22246,50744,132123,54333,97545
Morrow,2050,2572,906,1403,4502,1715,3280
Multnomah,2050,151900,52435,141220,341670,120168,228871
Polk,2050,22119,8984,17649,47105,15271,27247
Sherman,2050,288,62,101,466,294,395
Tillamook,2050,4222,1374,2105,7891,4704,8108
Umatilla,2050,17300,5927,10096,29866,10326,17197
Union,2050,4888,1815,3050,7598,3581,6929
Wallowa,2050,1032,268,330,1781,1147,1937
Wasco,2050,5691,1785,3049,9139,4153,6539
Washington,2050,149542,47645,97708,277879,84585,196381
Wheeler,2050,187,70,83,319,240,316
Yamhill,2050,22248,8941,15314,46732,15332,31903
