Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Albany,1990,0,0,1,0,0,0,0,0
Albany,1995,0,0,1,0,0,0,0,0
Albany,2000,0,0,1,0,0,0,0,0
Albany,2005,0,0,1,0,0,0,0,0
Albany,2010,0,0,1,0,0,0,0,0
Albany,2015,104448,0,185610,0,0,0,0,0
Albany,2020,128357,0,352309,0,0,0,0,0
Albany,2025,199269.4908,0,472083.6471,0,0,0,0,0
Albany,2030,205368.035,0,501084.2934,0,0,0,0,0
Albany,2035,206798.854,0,524588.3737,0,0,0,0,0
Albany,2040,207974.1345,0,550379.8552,0,0,0,0,0
Albany,2045,209029.1129,0,579533.1608,0,0,0,0,0
Albany,2050,210060.0307,0,612760.9774,0,0,0,0,0
Bend,1990,0,0,1,0,0,0,0,0
Bend,1995,0,0,1,0,0,0,0,0
Bend,2000,0,0,1,0,0,0,0,0
Bend,2005,0,0,1,0,0,0,0,0
Bend,2010,148197,0,266086,0,0,0,0,0
Bend,2015,276665,0,277486,348990,0,0,0,0
Bend,2020,300983,0,393430,494811,0,0,0,0
Bend,2025,339744.6528,0,427705.9521,537919.5867,0,0,0,0
Bend,2030,357842.0241,0,459245.4112,577585.7078,0,0,0,0
Bend,2035,370282.703,0,487172.4857,612709.3839,0,0,0,0
Bend,2040,382571.5523,0,516968.8074,650184.3456,0,0,0,0
Bend,2045,394879.484,0,549420.9038,690998.7305,0,0,0,0
Bend,2050,407411.4266,0,585131.1156,735910.0274,0,0,0,0
Corvallis,1990,0,0,1,0,0,0,0,0
Corvallis,1995,0,0,1,0,0,0,0,0
Corvallis,2000,0,0,1,0,0,0,0,0
Corvallis,2005,0,0,1,0,0,0,0,0
Corvallis,2010,0,0,373922,0,0,0,0,0
Corvallis,2015,295748,0,433752,99531,0,0,0,0
Corvallis,2020,277030,0,553644,127042,0,0,0,0
Corvallis,2025,324118.0379,0,615299.5883,141189.6518,0,0,0,0
Corvallis,2030,335542.8401,0,653603.1025,149979.4065,0,0,0,0
Corvallis,2035,338334.0929,0,682560.3805,156623.6338,0,0,0,0
Corvallis,2040,340847.4061,0,714364.2573,163921.6414,0,0,0,0
Corvallis,2045,343320.8951,0,750351.332,172179.5774,0,0,0,0
Corvallis,2050,346091.4061,0,791657.4232,181657.9586,0,0,0,0
EugeneSpringfield,1990,421365,0,3310462,0,0,0,0,0
EugeneSpringfield,1995,453147,0,3560159,0,0,0,0,0
EugeneSpringfield,2000,524944,0,3854315,0,0,0,0,0
EugeneSpringfield,2005,632442,17025,3255960,0,0,0,0,0
EugeneSpringfield,2010,1965953,271363,3538936,0,0,0,0,0
EugeneSpringfield,2015,4408741,470742,2817774,429059,0,0,0,0
EugeneSpringfield,2020,5862892,626009,4014259,611246,0,0,0,0
EugeneSpringfield,2025,5808198.907,620168.6533,3965881.203,603879.6616,0,0,0,0
EugeneSpringfield,2030,5392600.817,575793.0665,3739316.281,569380.7976,0,0,0,0
EugeneSpringfield,2035,5534801.704,590977.0236,3875273.321,590083.2193,0,0,0,0
EugeneSpringfield,2040,5706143.103,609271.4148,4035751.268,614519.1575,0,0,0,0
EugeneSpringfield,2045,5909634.227,630999.8115,4224467.044,643254.4474,0,0,0,0
EugeneSpringfield,2050,6142423.499,655855.2356,4440758.573,676188.6988,0,0,0,0
GrantsPass,1990,0,0,1,0,0,0,0,0
GrantsPass,1995,0,0,1,0,0,0,0,0
GrantsPass,2000,0,0,1,0,0,0,0,0
GrantsPass,2005,0,0,1,0,0,0,0,0
GrantsPass,2010,0,0,1,0,0,0,0,0
GrantsPass,2015,84887,0,178583,194843,0,0,0,0
GrantsPass,2020,78615,0,235985,257472,0,0,0,0
GrantsPass,2025,91960.2314,0,260511.3398,284231.6888,0,0,0,0
GrantsPass,2030,97356.65535,0,282189.9029,307883.0567,0,0,0,0
GrantsPass,2035,98068.76062,0,295599.9715,322514.2489,0,0,0,0
GrantsPass,2040,98440.70105,0,309855.4742,338068.0344,0,0,0,0
GrantsPass,2045,98604.39423,0,325703.944,355359.1496,0,0,0,0
GrantsPass,2050,98808.74126,0,343977.5401,375296.9131,0,0,0,0
Metro,1990,3699357,0,18374078,0,0,0,1365584,0
Metro,1995,4276368,0,21239993,0,0,0,1578582,0
Metro,2000,4894400,0,22865790,0,0,0,5052156,0
Metro,2005,6252536,0,24349017,0,0,0,3984245,0
Metro,2010,7770491,300378,21691044,0,0,0,4211187,118207
Metro,2015,8809328,399061,23745459,794457,0,358823,7836651,193393
Metro,2020,9246149,418849,28685599,959740,0,376616,8225241,202982.6327
Metro,2025,11507995.23,521310.2892,34593302.54,1157396.059,0,468745.6247,10237346.44,252637.4067
Metro,2030,12268087.89,555742.1488,37192361.66,1244352.737,0,499705.7833,10913514.26,269323.8722
Metro,2035,13022860.71,589933.404,39861802.55,1333664.848,0,530449.398,11584948.8,285893.5482
Metro,2040,13809868.71,625584.879,42701200.57,1428663.519,0,562505.5511,12285060.08,303170.9034
Metro,2045,14639903.41,663185.2496,45764913.24,1531166.559,0,596314.7976,13023446.53,321392.8286
Metro,2050,15518554.3,702987.5653,49084356.03,1642225.989,0,632104.4672,13805082.04,340682.0379
RogueValley,1990,180887,0,295148,0,0,0,0,0
RogueValley,1995,215668,0,351900,0,0,0,0,0
RogueValley,2000,191520,0,548856,0,0,0,0,0
RogueValley,2005,270555,0,645168,0,0,0,0,0
RogueValley,2010,382639,0,607922,0,0,0,0,0
RogueValley,2015,502358,0,755065,0,0,0,0,0
RogueValley,2020,565092,0,1115219,0,0,0,0,0
RogueValley,2025,935076.8885,0,1657962.039,0,0,0,0,0
RogueValley,2030,981230.5354,0,1766210.94,0,0,0,0,0
RogueValley,2035,1006442.474,0,1848969.88,0,0,0,0,0
RogueValley,2040,1030486.236,0,1935842.325,0,0,0,0,0
RogueValley,2045,1054003.157,0,2029577.804,0,0,0,0,0
RogueValley,2050,1077915.002,0,2132715.936,0,0,0,0,0
SalemKeizer,1990,0,0,1611260,0,0,0,0,0
SalemKeizer,1995,0,0,1869484,0,0,0,0,0
SalemKeizer,2000,282970,0,2089009,0,0,0,0,0
SalemKeizer,2005,1033835,36320,2617061,0,0,0,0,0
SalemKeizer,2010,3485995,223173,2019554,0,0,0,0,0
SalemKeizer,2015,5316303,597878,2059616,0,0,0,0,0
SalemKeizer,2020,5868383,659966,2817519,0,0,0,0,0
SalemKeizer,2025,6681251.374,751381.5916,3105098.484,0,0,0,0,0
SalemKeizer,2030,6947750.857,781352.9539,3287899.019,0,0,0,0,0
SalemKeizer,2035,7123233.846,801087.8437,3447686.988,0,0,0,0,0
SalemKeizer,2040,7306455.999,821693.0576,3622483.694,0,0,0,0,0
SalemKeizer,2045,7501136.73,843586.7496,3817383.312,0,0,0,0,0
SalemKeizer,2050,7707291.801,866771.4086,4034756.21,0,0,0,0,0
None,1990,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2015,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0
