Geo,Year,ElectricityCI
Baker,1990,10.00424361
Baker,1995,10.00424361
Baker,2000,10.00424361
Baker,2005,10.00424361
Baker,2010,10.00424361
Baker,2015,20.3337549
Baker,2020,7.216842922669609
Baker,2025,7.216842922669609
Baker,2030,7.216842922669609
Baker,2035,7.216842922669609
Baker,2040,7.216842922669609
Baker,2045,7.216842922669609
Baker,2050,7.216842922669609
Benton,1990,196.3049314
Benton,1995,196.3049314
Benton,2000,196.3049314
Benton,2005,196.3049314
Benton,2010,191.6682038
Benton,2015,161.4502641
Benton,2020,68.65593614279634
Benton,2025,41.798432708714614
Benton,2030,14.451556089088719
Benton,2035,7.614836934182245
Benton,2040,0.7781177792757713
Benton,2045,0.7781177792757713
Benton,2050,0.7781177792757713
Clackamas,1990,176.6996378
Clackamas,1995,176.6996378
Clackamas,2000,176.6996378
Clackamas,2005,176.6996378
Clackamas,2010,172.0377107
Clackamas,2015,107.9900961
Clackamas,2020,50.467077562516174
Clackamas,2025,30.994024093103242
Clackamas,2030,10.406460178813449
Clackamas,2035,5.259569200240999
Clackamas,2040,0.11267822166855057
Clackamas,2045,0.11267822166855057
Clackamas,2050,0.11267822166855057
Clatsop,1990,235.603717
Clatsop,1995,235.603717
Clatsop,2000,235.603717
Clatsop,2005,235.603717
Clatsop,2010,229.9716051
Clatsop,2015,193.5292177
Clatsop,2020,81.8886635358543
Clatsop,2025,49.57770935014584
Clatsop,2030,16.678014121672895
Clatsop,2035,8.453090314554663
Clatsop,2040,0.22816650743642822
Clatsop,2045,0.22816650743642822
Clatsop,2050,0.22816650743642822
Columbia,1990,10.81063101
Columbia,1995,10.81063101
Columbia,2000,10.81063101
Columbia,2005,10.81063101
Columbia,2010,10.7854314
Columbia,2015,6.746245526
Columbia,2020,3.2623925909551827
Columbia,2025,3.2359821904922117
Columbia,2030,3.208060231135017
Columbia,2035,3.2010797412957186
Columbia,2040,3.19409925145642
Columbia,2045,3.19409925145642
Columbia,2050,3.19409925145642
Coos,1990,188.329256
Coos,1995,188.329256
Coos,2000,188.329256
Coos,2005,188.329256
Coos,2010,183.8815256
Coos,2015,159.0037119
