Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Albany,1990,0,0,1,0,0,0,0,0
Albany,1995,0,0,1,0,0,0,0,0
Albany,2000,0,0,1,0,0,0,0,0
Albany,2005,0,0,1,0,0,0,0,0
Albany,2010,0,0,1,0,0,0,0,0
Albany,2015,104448,0,185610,0,0,0,0,0
Albany,2020,254059.38,0,697331.7085,0,0,0,0,0
Albany,2025,250785.5873,0,727098.6789,0,0,0,0,0
Albany,2030,261608.5006,0,789662.9562,0,0,0,0,0
Albany,2035,261295.7683,0,839114.2487,0,0,0,0,0
Albany,2040,260373.4059,0,894022.5222,0,0,0,0,0
Albany,2045,259164.0423,0,956950.9941,0,0,0,0,0
Albany,2050,257897.2785,0,1029599.899,0,0,0,0,0
Bend,1990,0,0,1,0,0,0,0,0
Bend,1995,0,0,1,0,0,0,0,0
Bend,2000,0,0,1,0,0,0,0,0
Bend,2005,0,0,1,0,0,0,0,0
Bend,2010,148197,0,266086,0,0,0,0,0
Bend,2015,276665,0,277486,348990,0,0,0,0
Bend,2020,595741.2091,0,778723.2631,979388.5482,0,0,0,0
Bend,2025,598025.3426,0,807241.2835,1015255.778,0,0,0,0
Bend,2030,618040.2109,0,859255.7934,1080672.253,0,0,0,0
Bend,2035,624560.0859,0,902652.3507,1135251.96,0,0,0,0
Bend,2040,630717.7456,0,950508.3125,1195441.055,0,0,0,0
Bend,2045,636920.9297,0,1004700.073,1263596.907,0,0,0,0
Bend,2050,643658.5297,0,1066664.617,1341526.634,0,0,0,0
Corvallis,1990,0,0,1,0,0,0,0,0
Corvallis,1995,0,0,1,0,0,0,0,0
Corvallis,2000,0,0,1,0,0,0,0,0
Corvallis,2005,0,0,1,0,0,0,0,0
Corvallis,2010,0,0,373922,0,0,0,0,0
Corvallis,2015,295748,0,433752,99531,0,0,0,0
Corvallis,2020,548330.5939,0,1095837.791,251456.5762,0,0,0,0
Corvallis,2025,531680.567,0,1113625.926,255537.9309,0,0,0,0
Corvallis,2030,541749.36,0,1179798.501,270723.2621,0,0,0,0
Corvallis,2035,531221.3651,0,1223674.054,280790.0759,0,0,0,0
Corvallis,2040,520030.2985,0,1274340.648,292416.5925,0,0,0,0
Corvallis,2045,508744.2246,0,1334986.965,306333.1806,0,0,0,0
Corvallis,2050,498166.7468,0,1408322.694,323161.3462,0,0,0,0
EugeneSpringfield,1990,421365,0,3310462,0,0,0,0,0
EugeneSpringfield,1995,453147,0,3560159,0,0,0,0,0
EugeneSpringfield,2000,524944,0,3854315,0,0,0,0,0
EugeneSpringfield,2005,632442,17025,3255960,0,0,0,0,0
EugeneSpringfield,2010,1965953,271363,3538936,0,0,0,0,0
EugeneSpringfield,2015,4408741,470742,2817774,429059,0,0,0,0
EugeneSpringfield,2020,11604530.38,1239071.172,7945496.956,1209850.493,0,0,0,0
EugeneSpringfield,2025,11409545.74,1218250.721,7897387.641,1202525.036,0,0,0,0
EugeneSpringfield,2030,10384862.47,1108839.934,7335657.061,1116990.768,0,0,0,0
EugeneSpringfield,2035,10690902.71,1141518.482,7638783.746,1163148.474,0,0,0,0
EugeneSpringfield,2040,11066462.56,1181617.495,8000409.188,1218213.114,0,0,0,0
EugeneSpringfield,2045,11518720.99,1229908.907,8429400.733,1283534.582,0,0,0,0
EugeneSpringfield,2050,12040875.1,1285660.37,8924178.887,1358873.381,0,0,0,0
GrantsPass,1990,0,0,1,0,0,0,0,0
GrantsPass,1995,0,0,1,0,0,0,0,0
GrantsPass,2000,0,0,1,0,0,0,0,0
GrantsPass,2005,0,0,1,0,0,0,0,0
GrantsPass,2010,0,0,1,0,0,0,0,0
GrantsPass,2015,84887,0,178583,194843,0,0,0,0
GrantsPass,2020,155604.121,0,467089.4676,509619.0834,0,0,0,0
GrantsPass,2025,154978.6564,0,485993.9382,530245.5611,0,0,0,0
GrantsPass,2030,167327.6243,0,536607.0907,585464.5876,0,0,0,0
GrantsPass,2035,168501.3601,0,567494.3553,619164.4638,0,0,0,0
GrantsPass,2040,168863.5754,0,600398.5454,655065.3421,0,0,0,0
GrantsPass,2045,168728.9817,0,637103.027,695110.9132,0,0,0,0
GrantsPass,2050,168691.3747,0,679593.0564,741470.5103,0,0,0,0
Metro,1990,3699357,0,18374078,0,0,0,1365584,0
Metro,1995,4276368,0,21239993,0,0,0,1578582,0
Metro,2000,4894400,0,22865790,0,0,0,5052156,0
Metro,2005,6252536,0,24349017,0,0,0,3984245,0
Metro,2010,7770491,300378,21691044,0,0,0,4211187,118207
Metro,2015,8809328,399061,23745459,794457,0,358823,7836651,193393
Metro,2020,18301073.43,829035.5591,56777935.73,1899631.102,0,745443.0024,16280371.38,401767.2727
Metro,2025,18698726.43,847049.3364,58927691.33,1971557.556,0,761639.7654,16634117.15,410497.0257
Metro,2030,19357900.83,876909.3347,62017171.91,2074921.524,0,788489.2204,17220510.04,424968.0037
Metro,2035,20004383.85,906195.3307,65274560.06,2183904.778,0,814822.0732,17795610.92,439160.3605
Metro,2040,20727769.33,938964.9272,68937409.62,2306454.281,0,844286.2078,18439124.96,455041.0052
Metro,2045,21553802.26,976383.9428,73135399.59,2446906.719,0,877932.6424,19173950.89,473175.0811
Metro,2050,22495817.32,1019056.07,77943476.87,2607771.869,0,916303.7101,20011954.75,493855.343
RogueValley,1990,180887,0,295148,0,0,0,0,0
RogueValley,1995,215668,0,351900,0,0,0,0,0
RogueValley,2000,191520,0,548856,0,0,0,0,0
RogueValley,2005,270555,0,645168,0,0,0,0,0
RogueValley,2010,382639,0,607922,0,0,0,0,0
RogueValley,2015,502358,0,755065,0,0,0,0,0
RogueValley,2020,1118497.029,0,2207373.557,0,0,0,0,0
RogueValley,2025,1118427.753,0,2283430.849,0,0,0,0,0
RogueValley,2030,1179184.913,0,2467501.528,0,0,0,0,0
RogueValley,2035,1189982.095,0,2590761.606,0,0,0,0,0
RogueValley,2040,1197992.397,0,2723835.145,0,0,0,0,0
RogueValley,2045,1204745.831,0,2873281.606,0,0,0,0,0
RogueValley,2050,1212441.421,0,3045159.683,0,0,0,0,0
SalemKeizer,1990,0,0,1611260,0,0,0,0,0
SalemKeizer,1995,0,0,1869484,0,0,0,0,0
SalemKeizer,2000,282970,0,2089009,0,0,0,0,0
SalemKeizer,2005,1033835,36320,2617061,0,0,0,0,0
SalemKeizer,2010,3485995,223173,2019554,0,0,0,0,0
SalemKeizer,2015,5316303,597878,2059616,0,0,0,0,0
SalemKeizer,2020,11615398.82,1306282.889,5576767.378,0,0,0,0,0
SalemKeizer,2025,11766505.93,1323275.338,5791151.319,0,0,0,0,0
SalemKeizer,2030,12248594.67,1377492.829,6167710.719,0,0,0,0,0
SalemKeizer,2035,12513548.22,1407289.49,6489369.762,0,0,0,0,0
SalemKeizer,2040,12796964.85,1439162.455,6846834.677,0,0,0,0,0
SalemKeizer,2045,13107717.85,1474109.302,7252258.478,0,0,0,0,0
SalemKeizer,2050,13445844.83,1512135.968,7711296.078,0,0,0,0,0
None,1990,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2015,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0
