Geo,Year,PropSovDvmtDiverted
Harney,2015,0.04125
Hood River,2015,0.04125
Jackson,2015,0.041666667
Jefferson,2015,0.04125
Josephine,2015,0.011
Klamath,2015,0.04125
Lake,2015,0.04125
Lane,2015,0.086
Lincoln,2015,0.04125
Linn,2015,0.02
Malheur,2015,0.04125
Marion,2015,0.04
Morrow,2015,0.04125
Multnomah,2015,0.11
Polk,2015,0.04125
Sherman,2015,0.04125
Tillamook,2015,0.04125
Umatilla,2015,0.04125
Union,2015,0.04125
Wallowa,2015,0.04125
Wasco,2015,0.04125
Washington,2015,0.11
Wheeler,2015,0.04125
Yamhill,2015,0.04125
Baker,2020,0.333677368
Benton,2020,0.800825682
Clackamas,2020,0.942147861
Clatsop,2020,0.333677368
Columbia,2020,0.333677368
Coos,2020,0.333677368
Crook,2020,0.333677368
Curry,2020,0.333677368
Deschutes,2020,0.471073931
Douglas,2020,0.333677368
Gilliam,2020,0.333677368
Grant,2020,0.333677368
Harney,2020,0.333677368
Hood River,2020,0.333677368
Jackson,2020,0.340220058
Jefferson,2020,0.333677368
Josephine,2020,0.086363554
Klamath,2020,0.333677368
Lake,2020,0.333677368
Lane,2020,0.879338004
Lincoln,2020,0.333677368
Linn,2020,0.157024644
Malheur,2020,0.333677368
Marion,2020,0.314049287
Morrow,2020,0.333677368
Multnomah,2020,0.942147861
Polk,2020,0.333677368
Sherman,2020,0.333677368
Tillamook,2020,0.333677368
Umatilla,2020,0.333677368
Union,2020,0.333677368
Wallowa,2020,0.333677368
Wasco,2020,0.333677368
Washington,2020,0.942147861
Wheeler,2020,0.333677368
Yamhill,2020,0.333677368
Baker,2025,0.343491408
Benton,2025,0.847933075
Clackamas,2025,0.942147861
Clatsop,2025,0.343491408
Columbia,2025,0.343491408
Coos,2025,0.343491408
Crook,2025,0.343491408
Curry,2025,0.343491408
Deschutes,2025,0.492664819
Douglas,2025,0.343491408
Gilliam,2025,0.343491408
Grant,2025,0.343491408
Harney,2025,0.343491408
Hood River,2025,0.343491408
Jackson,2025,0.353305448
Jefferson,2025,0.343491408
Josephine,2025,0.086363554
Klamath,2025,0.343491408
Lake,2025,0.343491408
Lane,2025,1
Lincoln,2025,0.343491408
Linn,2025,0.157024644
Malheur,2025,0.343491408
Marion,2025,0.366390838
Morrow,2025,0.343491408
Multnomah,2025,0.942147861
Polk,2025,0.343491408
Sherman,2025,0.343491408
Tillamook,2025,0.343491408
Umatilla,2025,0.343491408
Union,2025,0.343491408
Wallowa,2025,0.343491408
Wasco,2025,0.343491408
Washington,2025,0.942147861
Wheeler,2025,0.343491408
Yamhill,2025,0.343491408
Baker,2030,0.353305448
Benton,2030,0.895040468
Clackamas,2030,0.942147861
Clatsop,2030,0.353305448
Columbia,2030,0.353305448
Coos,2030,0.353305448
Crook,2030,0.353305448
Curry,2030,0.353305448
Deschutes,2030,0.514255708
Douglas,2030,0.353305448
Gilliam,2030,0.353305448
Grant,2030,0.353305448
Harney,2030,0.353305448
Hood River,2030,0.353305448
Jackson,2030,0.366390838
Jefferson,2030,0.353305448
Josephine,2030,0.086363554
Klamath,2030,0.353305448
Lake,2030,0.353305448
Lane,2030,1
Lincoln,2030,0.353305448
Linn,2030,0.157024644
Malheur,2030,0.353305448
Marion,2030,0.41873238
Morrow,2030,0.353305448
Multnomah,2030,0.942147861
Polk,2030,0.353305448
Sherman,2030,0.353305448
Tillamook,2030,0.353305448
Umatilla,2030,0.353305448
Union,2030,0.353305448
Wallowa,2030,0.353305448
Wasco,2030,0.353305448
Washington,2030,0.942147861
Wheeler,2030,0.353305448
Yamhill,2030,0.353305448
Baker,2035,0.363119488
Benton,2035,0.942147861
Clackamas,2035,0.942147861
Clatsop,2035,0.363119488
Columbia,2035,0.363119488
Coos,2035,0.363119488
Crook,2035,0.363119488
Curry,2035,0.363119488
Deschutes,2035,0.557437485
Douglas,2035,0.363119488
Gilliam,2035,0.363119488
Grant,2035,0.363119488
Harney,2035,0.363119488
Hood River,2035,0.363119488
Jackson,2035,0.379476219
Jefferson,2035,0.363119488
Josephine,2035,0.086363554
Klamath,2035,0.363119488
Lake,2035,0.363119488
Lane,2035,1
Lincoln,2035,0.363119488
Linn,2035,0.157024644
Malheur,2035,0.363119488
Marion,2035,0.471073931
Morrow,2035,0.363119488
Multnomah,2035,0.942147861
Polk,2035,0.363119488
Sherman,2035,0.363119488
Tillamook,2035,0.363119488
Umatilla,2035,0.363119488
Union,2035,0.363119488
Wallowa,2035,0.363119488
Wasco,2035,0.363119488
Washington,2035,0.942147861
Wheeler,2035,0.363119488
Yamhill,2035,0.363119488
Baker,2040,0.372933529
Benton,2040,0.989255255
Clackamas,2040,0.942147861
Clatsop,2040,0.372933529
Columbia,2040,0.372933529
Coos,2040,0.372933529
Crook,2040,0.372933529
Curry,2040,0.372933529
Deschutes,2040,0.579028373
Douglas,2040,0.372933529
Gilliam,2040,0.372933529
Grant,2040,0.372933529
Harney,2040,0.372933529
Hood River,2040,0.372933529
Jackson,2040,0.392561609
Jefferson,2040,0.372933529
Josephine,2040,0.086363554
Klamath,2040,0.372933529
Lake,2040,0.372933529
Lane,2040,1
Lincoln,2040,0.372933529
Linn,2040,0.157024644
Malheur,2040,0.372933529
Marion,2040,0.523415481
Morrow,2040,0.372933529
Multnomah,2040,0.942147861
Polk,2040,0.372933529
Sherman,2040,0.372933529
Tillamook,2040,0.372933529
Umatilla,2040,0.372933529
Union,2040,0.372933529
Wallowa,2040,0.372933529
Wasco,2040,0.372933529
Washington,2040,0.942147861
Wheeler,2040,0.372933529
Yamhill,2040,0.372933529
Baker,2045,0.382747569
Benton,2045,1
Clackamas,2045,1
Clatsop,2045,0.382747569
Columbia,2045,0.382747569
Coos,2045,0.382747569
Crook,2045,0.382747569
Curry,2045,0.382747569
Deschutes,2045,0.600619262
Douglas,2045,0.382747569
Gilliam,2045,0.382747569
Grant,2045,0.382747569
Harney,2045,0.382747569
Hood River,2045,0.382747569
Jackson,2045,0.43181777
Jefferson,2045,0.382747569
Josephine,2045,0.086363554
Klamath,2045,0.382747569
Lake,2045,0.382747569
Lane,2045,1
Lincoln,2045,0.382747569
Linn,2045,0.157024644
Malheur,2045,0.382747569
Marion,2045,0.575757024
Morrow,2045,0.382747569
Multnomah,2045,1
Polk,2045,0.382747569
Sherman,2045,0.382747569
Tillamook,2045,0.382747569
Umatilla,2045,0.382747569
Union,2045,0.382747569
Wallowa,2045,0.382747569
Wasco,2045,0.382747569
Washington,2045,1
Wheeler,2045,0.382747569
Yamhill,2045,0.382747569
Baker,2050,0.392561609
Benton,2050,1
Clackamas,2050,1
Clatsop,2050,0.392561609
Columbia,2050,0.392561609
Coos,2050,0.392561609
Crook,2050,0.392561609
Curry,2050,0.392561609
Deschutes,2050,0.62221015
Douglas,2050,0.392561609
Gilliam,2050,0.392561609
Grant,2050,0.392561609
Harney,2050,0.392561609
Hood River,2050,0.392561609
Jackson,2050,0.471073931
Jefferson,2050,0.392561609
Josephine,2050,0.086363554
Klamath,2050,0.392561609
Lake,2050,0.392561609
Lane,2050,1
Lincoln,2050,0.392561609
Linn,2050,0.157024644
Malheur,2050,0.392561609
Marion,2050,0.628098574
Morrow,2050,0.392561609
Multnomah,2050,1
Polk,2050,0.392561609
Sherman,2050,0.392561609
Tillamook,2050,0.392561609
Umatilla,2050,0.392561609
Union,2050,0.392561609
Wallowa,2050,0.392561609
Wasco,2050,0.392561609
Washington,2050,1
Wheeler,2050,0.392561609
Yamhill,2050,0.392561609
