Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Wasco,1995,5041,1596,2111,8094,2032,3958
Washington,1995,82698,25174,51292,149193,24518,37894
Wheeler,1995,267,98,112,535,201,352
Yamhill,1995,17891,6158,9299,26818,5665,9780
Baker,2000,3209,1195,1269,5834,2026,3199
Benton,2000,14365,8628,17879,28500,6078,8676
Clackamas,2000,73087,24152,38093,134552,32206,37585
Clatsop,2000,6663,2883,3838,12993,3659,5560
Columbia,2000,9723,3213,4290,17008,4364,5073
Coos,2000,10908,4432,5693,22067,7569,12027
Crook,2000,4134,1425,2103,6695,2147,2842
Curry,2000,3255,1158,1337,6749,3011,5613
Deschutes,2000,23755,7934,13485,44498,11720,15225
Douglas,2000,19377,7231,9788,34826,11319,17945
Gilliam,2000,350,129,155,697,217,363
Grant,2000,1590,613,606,2810,948,1334
Harney,2000,1636,509,673,2817,836,1142
Hood River,2000,4751,1490,2515,7496,1608,2627
Jackson,2000,36911,13275,21254,65797,18558,29620.32068
Jefferson,2000,4750,1370,2205,6406,1994,2388
Josephine,2000,13577,4737,6226,24612,8633,14567.67932
Klamath,2000,13623,4576,7409,22236,6557,9540
Lake,2000,1445,514,599,2640,897,1316
Lane,2000,60233,24632,49253,117096,29236,43018
Lincoln,2000,7535,2920,3816,15947,5446,8678
Linn,2000,20172,6891,11024,33404,9238,13726
Malheur,2000,7193,2492,4370,10493,2680,4317
Marion,2000,65449,22292,41261,100502,23298,35486
Morrow,2000,2832,898,1347,3814,995,1173
Multnomah,2000,123515,41865,109231,262692,50819,73462
Polk,2000,12976,5229,8354,21261,5563,9278
Sherman,2000,407,147,130,675,213,352
Tillamook,2000,4267,1649,2122,8444,2983,4799
Umatilla,2000,16170,5516,9324,24902,6090,8691
Union,2000,4830,2158,3312,8254,2371,3625
Wallowa,2000,1377,509,484,2623,862,1365
Wasco,2000,4904,1690,2422,8395,2430,3977
Washington,2000,101764,29736,68468,176790,32245,39604
Wheeler,2000,259,111,79,482,254,360
Yamhill,2000,18860,7182,11895,30546,6809,10002
Baker,2005,2759,1280,1609,5353,2240,3259
Benton,2005,13607,6926,22110,28897,8760,9195
Clackamas,2005,71475,26533,43865,133728,44866,40833
Clatsop,2005,6285,2565,4864,12443,4788,5696
Columbia,2005,9129,3760,5241,16754,5855,5482
Coos,2005,9910,4251,6902,20454,8944,12233
Crook,2005,4448,1706,2790,7372,2958,3501
Curry,2005,2817,1302,1718,6097,3311,5945
Deschutes,2005,27111,10132,17079,51631,18066,19470
Douglas,2005,18017,7497,11848,33075,13619,18850
Gilliam,2005,305,143,177,655,240,370
Grant,2005,1339,565,771,2527,1087,1397
Harney,2005,1412,603,768,2676,966,1235
Hood River,2005,4691,1557,2537,7685,2079,2631
Jackson,2005,36519,14127,25112,65960,25128,31352.45953
Jefferson,2005,4730,1670,2394,6723,2316,2767
Josephine,2005,12843,5360,7618,23964,10893,15283.54047
Klamath,2005,12919,4834,8117,21421,7991,9773
Lake,2005,1264,565,720,2520,1036,1400
Lane,2005,57795,23314,54889,116147,39146,44793
Lincoln,2005,6812,2858,4603,14505,6702,8924
Linn,2005,19974,7111,12125,33009,11501,14132
Malheur,2005,6951,2309,4514,10652,3100,4274
Marion,2005,67946,22115,44137,104222,30384,35968
Morrow,2005,2915,924,1572,3994,1221,1319
Multnomah,2005,129869,41133,99664,277854,71658,72648
Polk,2005,12629,4961,10665,20754,7273,9388
Sherman,2005,298,184,187,596,246,369
Tillamook,2005,4045,1641,2721,8012,3651,5135
Umatilla,2005,16094,5250,9956,24976,7350,8769
Union,2005,4636,1867,4147,7629,2946,3724
Wallowa,2005,1078,591,641,2305,1066,1449
Wasco,2005,4678,1701,2700,7837,3079,3939
Washington,2005,110226,32050,67486,191528,45485,43011
Wheeler,2005,201,116,128,448,246,411
Yamhill,2005,18606,6801,14248,31594,8981,10081
Baker,2010,2596.552173,959.9560774,1540.43275,4938.483624,2656.019096,3493.556278
Benton,2010,13246,9413,20777,26892,11560,11211
Clackamas,2010,72392,26015,40587,131705,54061,51233
Clatsop,2010,6230.663748,2370.807915,4593.821668,11649.69284,6156.28486,6068.728964
Columbia,2010,9521.369464,3370.626824,5043.706256,17057.35103,7376.623897,7060.322531
Coos,2010,9720.252741,3835.540941,6628.342775,19075.50461,10394.29593,13381.063
Crook,2010,3853.23521,1258.853345,1979.748312,6569.686146,3264.038308,4094.438681
Curry,2010,2787.132963,1102.877333,1787.044156,6061.299779,4267.77743,6348.868338
Deschutes,2010,29633.21018,9595.406544,18292.15013,54384.76094,22587.76693,23411.70528
Douglas,2010,17907.51143,6819.710447,11413.08093,32467.78213,16955.29956,22126.61551
Gilliam,2010,277.6549273,109.155985,140.2808511,617.3312078,320.5462597,405.0307691
Grant,2010,1170.616226,431.8370847,637.5340354,2200.56607,1312.083952,1707.362631
Harney,2010,1301.537009,525.6631021,737.0741288,2338.597433,1170.818784,1371.309543
Hood River,2010,4747.603834,1539.648635,2574.953843,7956.856968,2748.322359,2817.614362
Jackson,2010,37235,13529,25352,64531,30634,36059.93848
Jefferson,2010,4511.087342,1538.256174,2511.677602,6923.108322,2869.606555,3396.264004
Josephine,2010,12941,4921,7744,23122,12672,17374.06152
Klamath,2010,12269.93727,4575.699322,8066.187784,20507.51097,9837.513657,11248.15099
Lake,2010,1158.796823,479.8392186,741.5510829,2599.752867,1324.278418,1585.78159
Lane,2010,57656.77593,24794.02719,54170.08191,112625.2976,49960.4429,52803.37451
Lincoln,2010,6500.998855,2393.976332,4475.702974,13968.65547,8746.631609,10049.03476
Linn,2010,21438,7165,12867,34111,14456,16191
Malheur,2010,6602.600919,2251.507901,4178.515561,10074.38114,3612.906493,4625.087987
Marion,2010,69672,23792,44356,103325,37105,40898
Morrow,2010,2619.799407,893.9967647,1283.81102,3574.674635,1423.371994,1379.346179
Multnomah,2010,127423,41436,123046,278236,87769,77424
Polk,2010,15119.98268,5950.535693,10729.00292,22989.37826,9881.587358,10824.51308
Sherman,2010,286.6786506,94.65746134,169.2412779,556.4619657,270.9076719,387.0529725
Tillamook,2010,3934.676768,1478.178535,2450.838301,7641.369903,4380.186022,5374.750471
Umatilla,2010,16585.87743,5621.799196,10238.2445,24586.19655,9204.244427,9763.637897
Union,2010,4811.436389,1909.928873,3566.824892,7500.874662,3720.434751,4300.500433
Wallowa,2010,1096.324687,317.5188918,656.0788341,2009.739862,1331.956916,1593.380809
Wasco,2010,4849.110288,1676.28965,2897.491315,7683.880101,3745.146685,4383.081961
Washington,2010,113829,34172,72678,197655,58268,53108
Wheeler,2010,212.1489255,76.38948937,94.12712727,365.8605482,249.6593214,441.8145883
Yamhill,2010,20258.21078,7757.682556,13350.25775,32993.95894,11981.3192,13063.57078
Baker,2015,2729.002429,1008.923485,1619.010302,5190.395921,2791.502763,3671.762759
Benton,2015,13921.67912,9893.157602,21836.83581,28263.76227,12149.67618,11782.87367
Clackamas,2015,76084.71955,27342.02645,42657.3449,138423.2786,56818.65432,53846.3979
Clatsop,2015,6548.490218,2491.742946,4828.152741,12243.94426,6470.317259,6378.295132
Columbia,2015,10007.055,3542.562667,5300.985965,17927.44736,7752.905852,7420.469937
Coos,2015,10216.08332,4031.192077,6966.454872,20048.54706,10924.50949,14063.63169
Crook,2015,4049.788931,1323.067517,2080.735373,6904.806165,3430.537066,4303.296203
Curry,2015,2929.304755,1159.135161,1878.201368,6370.486984,4485.476971,6672.72443
Deschutes,2015,31144.80172,10084.86871,19225.23362,57158.93032,23739.97005,24605.93754
Douglas,2015,18820.97449,7167.584219,11995.26276,34123.96532,17820.19024,23255.29528
Gilliam,2015,291.8181191,114.7240373,147.4365843,648.8213036,336.8973405,425.6914089
Grant,2015,1230.329418,453.865116,670.0546785,2312.817055,1379.01342,1794.455284
Harney,2015,1367.928477,552.4772033,774.672317,2457.889405,1230.542309,1441.260111
Hood River,2015,4989.779343,1618.186189,2706.302368,8362.736641,2888.51442,2961.341012
Jackson,2015,39134.35922,14219.11497,26645.20679,67822.72954,32196.64187,37899.35775
Jefferson,2015,4741.198133,1616.722699,2639.798402,7276.256424,3015.985329,3569.507601
Josephine,2015,13601.12106,5172.020457,8139.021828,24301.45438,13318.39935,18260.31327
Klamath,2015,12895.82738,4809.105974,8477.644427,21553.60013,10339.32572,11821.91974
Lake,2015,1217.907107,504.3158412,779.3776408,2732.366391,1391.829926,1666.672388
Lane,2015,60597.85096,26058.77176,56933.3005,118370.3197,52508.9276,55496.87729
Lincoln,2015,6832.615132,2516.093185,4704.008807,14681.19729,9192.797726,10561.63653
Linn,2015,22531.55345,7530.487009,13523.34631,35851.00382,15193.40128,17016.90372
Malheur,2015,6939.399923,2366.357432,4391.661849,10588.27583,3797.201034,4861.013957
Marion,2015,73225.97221,25005.63111,46618.60178,108595.6134,38997.72791,42984.20903
Morrow,2015,2753.435506,939.5995845,1349.298284,3757.018967,1495.978271,1449.706697
Multnomah,2015,133922.8536,43549.65244,129322.5826,292428.8323,92246.10109,81373.40212
Polk,2015,15891.25375,6254.072817,11276.2899,24162.0676,10385.64762,11376.67203
Sherman,2015,301.3021429,99.48594319,177.874284,584.8471184,284.7266858,406.796564
Tillamook,2015,4135.384827,1553.580496,2575.855686,8031.156565,4603.61953,5648.916762
Umatilla,2015,17431.92387,5908.567455,10760.49786,25840.33967,9673.753396,10261.68156
Union,2015,5056.868,2007.35444,3748.768808,7883.494654,3910.214314,4519.869176
Wallowa,2015,1152.248264,333.7155464,689.5454483,2112.256793,1399.900105,1674.659244
Wasco,2015,5096.463647,1761.797269,3045.292492,8075.83521,3936.186805,4606.663191
Washington,2015,119635.423,35915.11543,76385.30842,207737.3915,61240.2536,55817.04174
Wheeler,2015,222.9706528,80.28612105,98.92855675,384.5231131,262.3944559,464.3515726
Yamhill,2015,21291.58313,8153.402332,14031.25507,34676.98244,12592.48689,13729.94418
Baker,2020,2868.20898,1060.388723,1701.596098,5455.158277,2933.897459,3859.059561
Benton,2020,14631.82467,10397.80807,22950.7339,29705.4982,12769.43177,12383.91865
Clackamas,2020,79965.8049,28736.74459,44833.2982,145484.257,59716.97672,56593.10535
Clatsop,2020,6882.529032,2618.846878,5074.437055,12868.50847,6800.368467,6703.652287
Columbia,2020,10517.51537,3723.268966,5571.389524,18841.92735,8148.381967,7798.98848
Coos,2020,10737.20624,4236.823386,7321.814084,21071.22445,11481.76926,14781.01825
Crook,2020,4256.368867,1390.557258,2186.873788,7257.020674,3605.528933,4522.807558
Curry,2020,3078.728737,1218.262704,1974.008514,6695.445845,4714.281376,7013.100437
Deschutes,2020,32733.49961,10599.29837,20205.91375,60074.61022,24950.94711,25861.08765
Douglas,2020,19781.03334,7533.203049,12607.14171,35864.6305,18729.19904,24441.54905
Gilliam,2020,306.7037759,120.5761162,154.9573319,681.9177108,354.0824907,447.405949
Grant,2020,1293.088584,477.0167983,704.2342012,2430.793969,1449.356964,1885.990538
Harney,2020,1437.706577,580.6590931,814.1883907,2583.266467,1293.312334,1514.778862
Hood River,2020,5244.308238,1700.729948,2844.350987,8789.320256,3035.857686,3112.399165
Jackson,2020,41130.60484,14944.43273,28004.38012,71282.37037,33838.99419,39832.60589
Jefferson,2020,4983.046888,1699.191804,2774.454651,7647.418629,3169.830892,3751.588363
Josephine,2020,14294.91492,5435.845479,8554.193739,25541.07278,13997.77157,19191.77276
Klamath,2020,13553.64419,5054.41871,8910.089494,22653.05035,10866.73524,12424.95645
Lake,2020,1280.03261,530.0410175,819.1337333,2871.744537,1462.827241,1751.68943
Lane,2020,63688.95037,27388.03101,59837.47101,124408.3956,55187.41062,58327.77578
Lincoln,2020,7181.147173,2644.439224,4943.960532,15430.08589,9661.722798,11100.38613
Linn,2020,23680.88912,7914.617529,14213.17289,37679.76532,15968.41744,17884.93683
Malheur,2020,7293.37906,2487.065443,4615.68074,11128.38431,3990.896449,5108.974522
Marion,2020,76961.23272,26281.16961,48996.61899,114135.0811,40987.00396,45176.83569
Morrow,2020,2893.888389,987.5286063,1418.126058,3948.664693,1572.288197,1523.656308
Multnomah,2020,140754.2651,45771.12239,135919.334,307345.6417,96951.57933,85524.26344
Polk,2020,16701.8674,6573.093385,11851.49401,25394.57588,10915.42003,11956.99664
Sherman,2020,316.6715803,104.5607261,186.9476601,614.6801993,299.2506083,427.5472771
Tillamook,2020,4346.331014,1632.828715,2707.250213,8440.826263,4838.450393,5937.068289
Umatilla,2020,18321.12718,6209.963777,11309.3914,27158.45669,10167.21204,10785.13045
Union,2020,5314.81909,2109.749691,3939.993693,8285.632112,4109.674542,4750.427929
Wallowa,2020,1211.024506,350.7383931,724.7191962,2220.003118,1471.30908,1760.083696
Wasco,2020,5356.434513,1851.666636,3200.633015,8487.783969,4136.971891,4841.649312
Washington,2020,125738.0319,37747.14727,80281.72683,218334.0862,64364.122,58664.27184
Wheeler,2020,234.344397,84.38152011,103.9749074,404.1376564,275.7792102,488.0381696
Yamhill,2020,22377.66785,8569.307793,14746.99009,36445.85705,13234.83028,14430.30932
Baker,2025,3014.516464,1114.479204,1788.394601,5733.426174,3083.555715,4055.910383
Benton,2025,15378.19478,10928.20078,24121.45199,31220.77715,13420.80112,13015.62296
Clackamas,2025,84044.86462,30202.60737,47120.24699,152905.4163,62763.1427,59479.92249
Clatsop,2025,7233.607183,2752.434388,5333.284343,13524.93173,7147.255603,7045.605926
Columbia,2025,11054.01436,3913.193103,5855.586383,19803.05501,8564.03134,8196.815273
Coos,2025,11284.91167,4452.94396,7695.300187,22146.06866,12067.45489,15534.99873
Crook,2025,4473.486457,1461.489653,2298.42633,7627.201662,3789.447145,4753.516198
Curry,2025,3235.774845,1280.406345,2074.702787,7036.980873,4954.757105,7370.839042
Deschutes,2025,34403.23707,11139.96911,21236.61843,63139.0191,26223.69618,27180.26302
Douglas,2025,20790.06484,7917.472114,13250.23264,37694.0871,19684.57642,25688.31369
Gilliam,2025,322.3487509,126.7267099,162.8617132,716.7023674,372.1442563,470.2281489
Grant,2025,1359.049097,501.3494491,740.1572231,2554.788892,1523.288735,1982.19501
Harney,2025,1511.044062,610.2785425,855.7201813,2715.039019,1359.284261,1592.047808
Hood River,2025,5511.820664,1787.484267,2989.441473,9237.663922,3190.716938,3271.162802
Jackson,2025,43228.67905,15706.749,29432.88496,74918.48766,35565.12298,41864.46911
Jefferson,2025,5237.232359,1785.867663,2915.979722,8037.513837,3331.524124,3942.957073
Josephine,2025,15024.09925,5713.128229,8990.54359,26843.92419,14711.7986,20170.74605
Klamath,2025,14245.01625,5312.244862,9364.593605,23808.58359,11421.04795,13058.7541
Lake,2025,1345.327137,557.0784364,860.9177861,3018.23237,1537.446132,1841.043196
Lane,2025,66937.72692,28785.09585,62889.78341,130754.4741,58002.5232,61303.07854
Lincoln,2025,7547.45785,2779.332201,5196.152206,16217.17535,10154.56776,11666.61739
Linn,2025,24888.85247,8318.342565,14938.18755,39601.81204,16782.96722,18797.24836
Malheur,2025,7665.414692,2613.930776,4851.126846,11696.04375,4194.472277,5369.583569
Marion,2025,80887.02906,27621.77339,51495.93898,119957.1173,43077.75309,47481.30834
Morrow,2025,3041.505781,1037.90249,1490.464739,4150.086277,1652.490697,1601.378093
Multnomah,2025,147934.1472,48105.90963,142852.5861,323023.3583,101897.0842,89886.8604
Polk,2025,17553.8305,6908.387207,12456.03931,26689.95446,11472.21615,12566.92364
Sherman,2025,332.8250135,109.894374,196.4838696,646.035067,314.5153968,449.3564852
Tillamook,2025,4568.037577,1716.11939,2845.347182,8871.393234,5085.25999,6239.91844
Umatilla,2025,19255.68879,6526.73434,11886.28402,28543.81093,10685.84204,11335.28049
Union,2025,5585.928278,2217.368129,4140.972969,8708.282621,4319.309246,4992.747495
Wallowa,2025,1272.798927,368.6295761,761.6871587,2333.245588,1546.360629,1849.865653
Wasco,2025,5629.666506,1946.120244,3363.897465,8920.746254,4347.999035,5088.622086
Washington,2025,132151.9352,39672.63114,84376.90174,229471.3189,67647.33909,61656.73928
Wheeler,2025,246.2983164,88.68582568,109.2786726,424.7527385,289.8467216,512.933021
Yamhill,2025,23519.15381,9006.428613,15499.23479,38304.96204,13909.93964,15166.40012
Baker,2030,3168.2871,1171.328844,1879.620699,6025.88853,3240.848047,4262.802574
Benton,2030,16162.63727,11485.64885,25351.88846,32813.35055,14105.39686,13679.55054
Clackamas,2030,88331.99737,31743.24389,49523.85315,160705.1292,65964.69375,62513.99632
Clatsop,2030,7602.593848,2892.836205,5605.335445,14214.83917,7511.837469,7405.002637
Columbia,2030,11617.88019,4112.805279,6154.280138,20813.20983,9000.883008,8614.935231
Coos,2030,11860.55558,4680.088854,8087.837835,23275.74073,12683.01637,16327.4398
Crook,2030,4701.679225,1536.040313,2415.669172,8016.265601,3982.747033,4995.993298
Curry,2030,3400.831881,1345.719937,2180.53348,7395.937619,5207.499513,7746.825911
Deschutes,2030,36158.14791,11708.21949,22319.8994,66359.74362,27561.36823,28566.7296
Douglas,2030,21850.56709,8321.342763,13926.12768,39616.86437,20688.68765,26998.67586
Gilliam,2030,338.7917768,133.1910457,171.1692973,753.2613911,391.1273534,494.2145103
Grant,2030,1428.37426,526.9233096,777.9126801,2685.108801,1600.99177,2083.306877
Harney,2030,1588.122495,641.4088816,899.3705107,2853.533295,1428.621419,1673.258246
Hood River,2030,5792.978912,1878.663929,3141.933033,9708.877622,3353.475569,3438.024981
Jackson,2030,45433.77614,16507.95105,30934.25789,78740.08347,37379.30168,43999.97777
Jefferson,2030,5504.383844,1876.964862,3064.723994,8447.50782,3501.465337,4144.087511
Josephine,2030,15790.47931,6004.555187,9449.151669,28213.2341,15462.24819,21199.65682
Klamath,2030,14971.65525,5583.222739,9842.281994,25023.06063,12003.63618,13724.88181
Lake,2030,1413.952342,585.4950353,904.8332455,3172.192555,1615.871336,1934.954902
Lane,2030,70352.22373,30253.42503,66097.79441,137424.2664,60961.23482,64430.15165
Lincoln,2030,7932.454053,2921.106076,5461.208191,17044.41428,10672.55277,12261.73213
Linn,2030,26158.43408,8742.661636,15700.18524,41621.90245,17639.06722,19756.09694
Malheur,2030,8056.427879,2747.267516,5098.583069,12292.65953,4408.432518,5643.486296
Marion,2030,85013.08046,29030.76143,54122.74941,126076.1359,45275.15143,49903.33225
Morrow,2030,3196.653143,1090.845948,1566.49342,4361.782386,1736.78433,1683.064469
Multnomah,2030,155480.2755,50559.7945,150139.5037,339500.796,107094.8596,94471.99365
Polk,2030,18449.25227,7260.784385,13091.4225,28051.41038,12057.41447,13207.96305
Sherman,2030,349.8024341,115.5000915,206.5065216,678.9893482,330.558843,472.278182
Tillamook,2030,4801.053403,1803.658726,2990.488484,9323.923447,5344.659357,6558.216992
Umatilla,2030,20237.92244,6859.663386,12492.60397,29999.83215,11230.92738,11913.49372
Union,2030,5870.86676,2330.476188,4352.204207,9152.492553,4539.637427,5247.427795
Wallowa,2030,1337.724464,387.4333893,800.5408588,2452.264562,1625.240563,1944.227393
Wasco,2030,5916.836076,2045.391935,3535.490043,9375.793967,4569.790683,5348.192953
Washington,2030,138893.0121,41696.33405,88680.97172,241176.6623,71098.03325,64801.85264
Wheeler,2030,258.8620059,93.20969409,114.8529832,446.4193969,304.6318174,539.0977601
Yamhill,2030,24718.86702,9465.846988,16289.85154,40258.90008,14619.48635,15940.03895
Baker,2035,3329.901583,1231.078387,1975.500245,6333.269406,3406.163868,4480.248347
Benton,2035,16987.09421,12071.53237,26645.08956,34487.16121,14824.91386,14377.3451
Clackamas,2035,92837.81698,33362.46835,52050.06738,168902.7059,69329.55608,65702.8384
Clatsop,2035,7990.402541,3040.399924,5891.263886,14939.93883,7895.016675,7782.732193
Columbia,2035,12210.50884,4322.599682,6468.210276,21874.89271,9460.018501,9054.383509
Coos,2035,12465.56311,4918.820421,8500.398849,24463.03743,13329.97767,17160.30332
Crook,2035,4941.512118,1614.393807,2538.892577,8425.175711,4185.907159,5250.839166
Curry,2035,3574.308486,1414.365178,2291.762602,7773.204768,5473.134324,8141.991889
Deschutes,2035,38002.57685,12305.45636,23458.43858,69744.75747,28967.27501,30023.91991
Douglas,2035,22965.16561,8745.814874,14636.50015,41637.72261,21744.01864,28375.87967
Gilliam,2035,356.0735623,139.9851276,179.9006517,791.6852924,411.0787793,519.4244173
Grant,2035,1501.235702,553.8016941,817.5940449,2822.076335,1682.65844,2189.576465
Harney,2035,1669.132703,674.1271807,945.2474455,2999.092172,1501.495469,1758.611233
Hood River,2035,6088.479056,1974.494671,3302.203194,10204.12796,3524.536526,3613.398807
Jackson,2035,47751.35533,17350.02246,32512.21594,82756.61907,39286.02174,46244.41885
Jefferson,2035,5785.16274,1972.708934,3221.055718,8878.415617,3680.075259,4355.477622
Josephine,2035,16595.95245,6310.847847,9931.153369,29652.39259,16250.97824,22281.05238
Klamath,2035,15735.36013,5868.02321,10344.33729,26299.48821,12615.94227,14424.98871
Lake,2035,1486.078122,615.3611664,950.9888347,3334.006256,1698.297014,2033.657048
Lane,2035,73940.89418,31796.65375,69469.44621,144434.2851,64070.87046,67716.73692
Lincoln,2035,8337.088931,3070.111843,5739.784694,17913.8507,11216.96022,12887.2037
Linn,2035,27492.77711,9188.625244,16501.05248,43745.03778,18538.83692,20763.85643
Malheur,2035,8467.386669,2887.405769,5358.662047,12919.7087,4633.306882,5931.360814
Marion,2035,89349.60196,30511.62203,56883.55357,132507.2859,47584.63918,52448.90373
Morrow,2035,3359.71458,1146.490054,1646.400328,4584.277124,1825.377786,1768.917672
Multnomah,2035,163411.3321,53138.85215,157798.1273,356818.7486,112557.7738,99291.01478
Polk,2035,19390.34955,7631.15736,13759.21662,29482.31423,12672.46379,13881.7019
Sherman,2035,367.6458738,121.391757,217.0404297,713.6246288,347.4206661,496.3691157
Tillamook,2035,5045.955377,1895.663448,3143.033452,9799.537249,5617.290699,6892.751969
Umatilla,2035,21270.25988,7209.575159,13129.85232,31530.12509,11803.81754,12521.20163
Union,2035,6170.339967,2449.353895,4574.210362,9619.361657,4771.20456,5515.09935
Wallowa,2035,1405.961856,407.1963859,841.3764881,2577.354701,1708.144165,2043.40253
Wasco,2035,6218.654181,2149.72748,3715.835568,9854.053687,4802.895935,5621.004544
Washington,2035,145977.9516,43823.26613,93204.59253,253479.096,74724.74749,68107.39839
Wheeler,2035,272.0665698,97.96432525,120.7116396,469.1912727,320.1711016,566.5971639
Yamhill,2035,25979.77767,9948.700317,17120.79768,42312.50859,15365.22708,16753.14114
Baker,2040,3499.76003,1293.875758,2076.270611,6656.329796,3579.912458,4708.78604
Benton,2040,17853.60673,12687.30184,28004.25691,36246.35303,15581.13346,15110.73419
Clackamas,2040,97573.47868,35064.28953,54705.14393,177518.4414,72866.06021,69054.34348
Clatsop,2040,8397.993375,3195.490877,6191.777552,15702.02586,8297.741871,8179.729752
Columbia,2040,12833.3675,4543.095709,6798.154006,22990.73208,9942.574518,9516.248065
Coos,2040,13101.43211,5169.729697,8934.00462,25710.8982,14009.94049,18035.65125
Crook,2040,5193.578898,1696.744116,2668.401615,8854.944346,4399.430493,5518.684735
Curry,2040,3756.634141,1486.512017,2408.665527,8169.716333,5752.31918,8557.315303
Deschutes,2040,39941.0902,12933.1583,24655.05471,73302.44104,30444.89716,31555.44157
Douglas,2040,24136.61986,9191.939329,15383.10875,43761.66493,22853.18212,29823.33472
Gilliam,2040,374.2368926,147.125776,189.077393,832.0691988,432.0479285,545.9202828
Grant,2040,1577.81381,582.0511462,859.2995581,2966.030591,1768.490932,2301.26687
Harney,2040,1754.275246,708.514442,993.464565,3152.076013,1578.086828,1848.31808
Hood River,2040,6399.052678,2075.213743,3470.648744,10724.64103,3704.323311,3797.718462
Jackson,2040,50187.15436,18235.04798,34170.6657,86978.03836,41290.00367,48603.34897
Jefferson,2040,6080.264181,2073.336916,3385.361932,9331.304043,3867.796083,4577.650754
Josephine,2040,17442.51281,6632.764512,10437.742,31164.96262,17079.94146,23417.60997
Klamath,2040,16538.02164,6167.351368,10872.00246,27641.02642,13259.48211,15160.80811
Lake,2040,1561.883041,646.7507703,999.4988228,3504.074082,1784.927229,2137.393996
Lane,2040,77712.6229,33418.60265,73013.08615,151801.8852,67339.12877,71170.97106
Lincoln,2040,8762.364255,3226.718402,6032.571399,18827.63712,11789.13793,13544.5806
Linn,2040,28895.18505,9657.337478,17342.77199,45976.47435,19484.50392,21823.02179
