Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Wasco,1995,5041,1596,2111,8094,2032,3958
Washington,1995,82698,25174,51292,149193,24518,37894
Wheeler,1995,267,98,112,535,201,352
Yamhill,1995,17891,6158,9299,26818,5665,9780
Baker,2000,3209,1195,1269,5834,2026,3199
Benton,2000,14365,8628,17879,28500,6078,8676
Clackamas,2000,73087,24152,38093,134552,32206,37585
Clatsop,2000,6663,2883,3838,12993,3659,5560
Columbia,2000,9723,3213,4290,17008,4364,5073
Coos,2000,10908,4432,5693,22067,7569,12027
Crook,2000,4134,1425,2103,6695,2147,2842
Curry,2000,3255,1158,1337,6749,3011,5613
Deschutes,2000,23755,7934,13485,44498,11720,15225
Douglas,2000,19377,7231,9788,34826,11319,17945
Gilliam,2000,350,129,155,697,217,363
Grant,2000,1590,613,606,2810,948,1334
Harney,2000,1636,509,673,2817,836,1142
Hood River,2000,4751,1490,2515,7496,1608,2627
Jackson,2000,36911,13275,21254,65797,18558,29620.32068
Jefferson,2000,4750,1370,2205,6406,1994,2388
Josephine,2000,13577,4737,6226,24612,8633,14567.67932
Klamath,2000,13623,4576,7409,22236,6557,9540
Lake,2000,1445,514,599,2640,897,1316
Lane,2000,60233,24632,49253,117096,29236,43018
Lincoln,2000,7535,2920,3816,15947,5446,8678
Linn,2000,20172,6891,11024,33404,9238,13726
Malheur,2000,7193,2492,4370,10493,2680,4317
Marion,2000,65449,22292,41261,100502,23298,35486
Morrow,2000,2832,898,1347,3814,995,1173
Multnomah,2000,123515,41865,109231,262692,50819,73462
Polk,2000,12976,5229,8354,21261,5563,9278
Sherman,2000,407,147,130,675,213,352
Tillamook,2000,4267,1649,2122,8444,2983,4799
Umatilla,2000,16170,5516,9324,24902,6090,8691
Union,2000,4830,2158,3312,8254,2371,3625
Wallowa,2000,1377,509,484,2623,862,1365
Wasco,2000,4904,1690,2422,8395,2430,3977
Washington,2000,101764,29736,68468,176790,32245,39604
Wheeler,2000,259,111,79,482,254,360
Yamhill,2000,18860,7182,11895,30546,6809,10002
Baker,2005,2759,1280,1609,5353,2240,3259
Benton,2005,13607,6926,22110,28897,8760,9195
Clackamas,2005,71475,26533,43865,133728,44866,40833
Clatsop,2005,6285,2565,4864,12443,4788,5696
Columbia,2005,9129,3760,5241,16754,5855,5482
Coos,2005,9910,4251,6902,20454,8944,12233
Crook,2005,4448,1706,2790,7372,2958,3501
Curry,2005,2817,1302,1718,6097,3311,5945
Deschutes,2005,27111,10132,17079,51631,18066,19470
Douglas,2005,18017,7497,11848,33075,13619,18850
Gilliam,2005,305,143,177,655,240,370
Grant,2005,1339,565,771,2527,1087,1397
Harney,2005,1412,603,768,2676,966,1235
Hood River,2005,4691,1557,2537,7685,2079,2631
Jackson,2005,36519,14127,25112,65960,25128,31352.45953
Jefferson,2005,4730,1670,2394,6723,2316,2767
Josephine,2005,12843,5360,7618,23964,10893,15283.54047
Klamath,2005,12919,4834,8117,21421,7991,9773
Lake,2005,1264,565,720,2520,1036,1400
Lane,2005,57795,23314,54889,116147,39146,44793
Lincoln,2005,6812,2858,4603,14505,6702,8924
Linn,2005,19974,7111,12125,33009,11501,14132
Malheur,2005,6951,2309,4514,10652,3100,4274
Marion,2005,67946,22115,44137,104222,30384,35968
Morrow,2005,2915,924,1572,3994,1221,1319
Multnomah,2005,129869,41133,99664,277854,71658,72648
Polk,2005,12629,4961,10665,20754,7273,9388
Sherman,2005,298,184,187,596,246,369
Tillamook,2005,4045,1641,2721,8012,3651,5135
Umatilla,2005,16094,5250,9956,24976,7350,8769
Union,2005,4636,1867,4147,7629,2946,3724
Wallowa,2005,1078,591,641,2305,1066,1449
Wasco,2005,4678,1701,2700,7837,3079,3939
Washington,2005,110226,32050,67486,191528,45485,43011
Wheeler,2005,201,116,128,448,246,411
Yamhill,2005,18606,6801,14248,31594,8981,10081
Baker,2010,2596.552173,959.9560774,1540.43275,4938.483624,2656.019096,3493.556278
Benton,2010,13246,9413,20777,26892,11560,11211
Clackamas,2010,72392,26015,40587,131705,54061,51233
Clatsop,2010,6230.663748,2370.807915,4593.821668,11649.69284,6156.28486,6068.728964
Columbia,2010,9521.369464,3370.626824,5043.706256,17057.35103,7376.623897,7060.322531
Coos,2010,9720.252741,3835.540941,6628.342775,19075.50461,10394.29593,13381.063
Crook,2010,3853.23521,1258.853345,1979.748312,6569.686146,3264.038308,4094.438681
Curry,2010,2787.132963,1102.877333,1787.044156,6061.299779,4267.77743,6348.868338
Deschutes,2010,29633.21018,9595.406544,18292.15013,54384.76094,22587.76693,23411.70528
Douglas,2010,17907.51143,6819.710447,11413.08093,32467.78213,16955.29956,22126.61551
Gilliam,2010,277.6549273,109.155985,140.2808511,617.3312078,320.5462597,405.0307691
Grant,2010,1170.616226,431.8370847,637.5340354,2200.56607,1312.083952,1707.362631
Harney,2010,1301.537009,525.6631021,737.0741288,2338.597433,1170.818784,1371.309543
Hood River,2010,4747.603834,1539.648635,2574.953843,7956.856968,2748.322359,2817.614362
Jackson,2010,37235,13529,25352,64531,30634,36059.93848
Jefferson,2010,4511.087342,1538.256174,2511.677602,6923.108322,2869.606555,3396.264004
Josephine,2010,12941,4921,7744,23122,12672,17374.06152
Klamath,2010,12269.93727,4575.699322,8066.187784,20507.51097,9837.513657,11248.15099
Lake,2010,1158.796823,479.8392186,741.5510829,2599.752867,1324.278418,1585.78159
Lane,2010,57656.77593,24794.02719,54170.08191,112625.2976,49960.4429,52803.37451
Lincoln,2010,6500.998855,2393.976332,4475.702974,13968.65547,8746.631609,10049.03476
Linn,2010,21438,7165,12867,34111,14456,16191
Malheur,2010,6602.600919,2251.507901,4178.515561,10074.38114,3612.906493,4625.087987
Marion,2010,69672,23792,44356,103325,37105,40898
Morrow,2010,2619.799407,893.9967647,1283.81102,3574.674635,1423.371994,1379.346179
Multnomah,2010,127423,41436,123046,278236,87769,77424
Polk,2010,15119.98268,5950.535693,10729.00292,22989.37826,9881.587358,10824.51308
Sherman,2010,286.6786506,94.65746134,169.2412779,556.4619657,270.9076719,387.0529725
Tillamook,2010,3934.676768,1478.178535,2450.838301,7641.369903,4380.186022,5374.750471
Umatilla,2010,16585.87743,5621.799196,10238.2445,24586.19655,9204.244427,9763.637897
Union,2010,4811.436389,1909.928873,3566.824892,7500.874662,3720.434751,4300.500433
Wallowa,2010,1096.324687,317.5188918,656.0788341,2009.739862,1331.956916,1593.380809
Wasco,2010,4849.110288,1676.28965,2897.491315,7683.880101,3745.146685,4383.081961
Washington,2010,113829,34172,72678,197655,58268,53108
Wheeler,2010,212.1489255,76.38948937,94.12712727,365.8605482,249.6593214,441.8145883
Yamhill,2010,20258.21078,7757.682556,13350.25775,32993.95894,11981.3192,13063.57078
Baker,2015,2622.621765,969.5941133,1555.898818,4988.066395,2682.68574,3528.631863
Benton,2015,13378.9909,9507.507274,20985.60274,27161.99783,11676.06333,11323.55934
Clackamas,2015,73118.82148,26276.19268,40994.49673,133027.3287,54603.77677,51747.38342
Clatsop,2015,6293.220111,2394.611016,4639.944005,11766.65669,6218.094453,6129.659489
Columbia,2015,9616.964776,3404.468187,5094.345471,17228.6082,7450.685792,7131.208735
Coos,2015,9817.844857,3874.050079,6694.891867,19267.0242,10498.65549,13515.40994
Crook,2015,3891.922,1271.492333,1999.625144,6635.646321,3296.809514,4135.547173
Curry,2015,2815.116001,1113.95031,1804.986222,6122.155714,4310.626257,6412.611485
Deschutes,2015,29930.72998,9691.745194,18475.80478,54930.78829,22814.54992,23646.76068
Douglas,2015,18087.30428,6888.180886,11527.66918,32793.76126,17125.53213,22348.7685
Gilliam,2015,280.442605,110.2519198,141.6892821,623.5292626,323.7645698,409.0973105
Grant,2015,1182.369307,436.1727636,643.9349282,2222.65993,1325.25738,1724.504689
Harney,2015,1314.604545,530.9408017,744.4744121,2362.077139,1182.573898,1385.077601
Hood River,2015,4795.270157,1555.106831,2600.806586,8036.744449,2775.915736,2845.903436
Jackson,2015,37608.84238,13664.83224,25606.53611,65178.89641,30941.56781,36421.98315
Jefferson,2015,4556.37902,1553.700389,2536.895046,6992.616884,2898.417635,3430.362767
Josephine,2015,13070.92868,4970.407234,7821.75038,23354.14673,12799.22789,17548.49849
Klamath,2015,12393.12842,4621.63971,8147.172955,20713.40802,9936.283082,11361.08333
Lake,2015,1170.431236,484.6568428,748.9963152,2625.854594,1337.574279,1601.702964
Lane,2015,58235.65458,25042.96121,54713.95387,113756.0646,50462.04975,53333.52462
Lincoln,2015,6566.269404,2418.012046,4520.63939,14108.90189,8834.448491,10149.92787
Linn,2015,21653.23924,7236.937174,12996.18571,34453.47717,14601.1394,16353.55894
Malheur,2015,6668.891561,2274.113221,4220.468192,10175.52873,3649.180364,4671.524241
Marion,2015,70371.51246,24030.87359,44801.33779,104362.3913,37477.53717,41308.6192
Morrow,2015,2646.102403,902.9725638,1296.700585,3610.564655,1437.662763,1393.194925
Multnomah,2015,128702.3371,41852.02076,124281.3917,281029.5117,88650.20779,78201.34316
Polk,2015,15271.78852,6010.279548,10836.72297,23220.19346,9980.799286,10933.19206
Sherman,2015,289.5569272,95.60782983,170.9404739,562.0488884,273.6276066,390.9390153
Tillamook,2015,3974.181238,1493.019566,2475.444914,7718.089869,4424.16344,5428.713396
Umatilla,2015,16752.40097,5678.24251,10341.03729,24833.04393,9296.655778,9861.665603
Union,2015,4859.743596,1929.104712,3602.6361,7576.184044,3757.788214,4343.677802
Wallowa,2015,1107.331875,320.7068069,662.6659181,2029.917811,1345.32987,1609.37848
Wasco,2015,4897.795744,1693.119732,2926.58236,7761.026873,3782.748258,4427.088455
Washington,2015,114971.8523,34515.08962,73407.69294,199639.472,58853.01539,53641.20857
Wheeler,2015,214.2789177,77.15644596,95.07217117,369.5338174,252.165921,446.2504421
Yamhill,2015,20461.60484,7835.57031,13484.29541,33325.22093,12101.6126,13194.73008
Baker,2020,2648.953097,979.3289158,1571.520167,5038.146981,2709.62012,3564.059609
Benton,2020,13513.31704,9602.963408,21196.29988,27434.70647,11793.29194,11437.24878
Clackamas,2020,73852.9403,26540.00776,41406.08476,134362.9338,55152.00306,52266.9313
Clatsop,2020,6356.404545,2418.653103,4686.529415,11884.79486,6280.524619,6191.201761
Columbia,2020,9713.519872,3438.64932,5145.493107,17401.58481,7525.491274,7202.806641
Coos,2020,9916.416805,3912.945852,6762.109118,19460.46667,10604.06284,13651.10574
Crook,2020,3930.997209,1284.258218,2019.70154,6702.268741,3329.909746,4177.068398
Curry,2020,2843.379991,1125.13446,1823.108429,6183.622648,4353.90529,6476.994617
Deschutes,2020,30231.23691,9789.051092,18661.30334,55482.29781,23043.60983,23884.17605
Douglas,2020,18268.90226,6957.338774,11643.4079,33123.01325,17297.47384,22573.15193
Gilliam,2020,283.2582712,111.3588579,143.1118538,629.7895463,327.015192,413.2046802
Grant,2020,1194.240389,440.5519731,650.4000864,2244.975613,1338.56307,1741.818854
Harney,2020,1327.80328,536.2714899,751.9489948,2385.792582,1194.447035,1398.983891
Hood River,2020,4843.415053,1570.720228,2626.918892,8117.434007,2803.786152,2874.476534
Jackson,2020,37986.43817,13802.02825,25863.62778,65833.29775,31252.22363,36787.66278
Jefferson,2020,4602.12543,1569.299665,2562.365676,7062.823317,2927.51798,3464.803883
Josephine,2020,13202.16185,5020.310521,7900.28138,23588.62423,12927.73317,17724.68682
Klamath,2020,12517.55642,4668.041342,8228.971224,20921.3723,10036.04416,11475.14951
Lake,2020,1182.182459,489.5228363,756.5162981,2652.218384,1351.003632,1617.78419
Lane,2020,58820.34521,25294.39454,55263.28635,114898.1846,50968.69277,53868.99748
Lincoln,2020,6632.195275,2442.289081,4566.026972,14250.55639,8923.147061,10251.83396
Linn,2020,21870.63949,7309.596603,13126.66846,34799.39284,14747.73601,16517.74998
Malheur,2020,6735.847766,2296.945499,4262.84203,10277.69186,3685.818427,4718.426718
Marion,2020,71078.04808,24272.14548,45251.14681,105410.198,37853.81465,41723.36104
Morrow,2020,2672.669483,912.0384807,1309.719563,3646.815013,1452.097012,1407.182714
Multnomah,2020,129994.5189,42272.2184,125529.1868,283851.0705,89540.26297,78986.49091
Polk,2020,15425.1185,6070.623236,10945.52453,23453.32606,10081.00731,11042.96218
Sherman,2020,292.4641019,96.5677401,172.6567299,567.6919042,276.3748497,394.8640744
Tillamook,2020,4014.082336,1508.009602,2500.298579,7795.580109,4468.582396,5483.218113
Umatilla,2020,16920.59641,5735.25252,10444.86214,25082.36968,9389.994947,9960.677516
Union,2020,4908.535811,1948.473078,3638.806854,7652.249539,3795.516708,4387.288675
Wallowa,2020,1118.449575,323.9267289,669.319137,2050.298349,1358.83709,1625.536769
Wasco,2020,4946.970005,1710.11879,2955.965481,7838.948204,3820.727353,4471.536777
Washington,2020,116126.1789,34861.62388,74144.71206,201643.8683,59443.90437,54179.7706
Wheeler,2020,216.4302952,77.93110286,96.02670338,373.2439665,254.697687,450.7308323
Yamhill,2020,20667.04099,7914.240063,13619.67881,33659.80882,12223.11376,13327.20622
Baker,2025,2675.548799,989.1614566,1587.298355,5088.73038,2736.824923,3599.843053
Benton,2025,13648.99183,9699.37793,21409.11242,27710.15312,11911.69753,11552.07967
Clackamas,2025,74594.42973,26806.47157,41821.80517,135711.9484,55705.73359,52791.69547
Clatsop,2025,6420.223356,2442.936574,4733.582545,12004.11916,6343.581589,6253.361922
Columbia,2025,9811.04439,3473.173635,5197.15427,17576.29811,7601.047809,7275.123397
Coos,2025,10015.97842,3952.232142,6830.001235,19655.85131,10710.52848,13788.16394
Crook,2025,3970.464735,1297.152274,2039.979505,6769.560056,3363.342306,4219.006499
Curry,2025,2871.927754,1136.4309,1841.412583,6245.706714,4397.618848,6542.024162
Deschutes,2025,30534.76095,9887.333949,18848.66432,56039.34452,23274.96951,24123.97509
Douglas,2025,18452.3235,7027.191012,11760.30865,33455.57096,17471.14186,22799.78818
Gilliam,2025,286.1022069,112.4769098,144.5487083,636.1126838,330.2984507,417.3532883
Grant,2025,1206.230658,444.9751502,656.9301554,2267.515348,1352.002351,1759.306854
Harney,2025,1341.134531,541.6556986,759.4986229,2409.746131,1206.439379,1413.029801
Hood River,2025,4892.043328,1586.490385,2653.293368,8198.933694,2831.936389,2903.336509
Jackson,2025,38367.82505,13940.60172,26123.30068,66494.26933,31565.99846,37157.01386
Jefferson,2025,4648.331138,1585.05556,2588.092032,7133.734629,2956.910495,3499.590792
Josephine,2025,13334.71261,5070.71484,7979.600838,23825.45591,13057.52864,17902.64409
Klamath,2025,12643.23369,4714.908851,8311.590754,21131.42455,10136.80685,11590.36093
Lake,2025,1194.051666,494.4376848,764.1117824,2678.846869,1364.567817,1634.026873
Lane,2025,59410.90619,25548.35229,55818.13417,116051.7716,51480.42252,54409.84653
Lincoln,2025,6698.783046,2466.809859,4611.870248,14393.63312,9012.736172,10354.7632
Linn,2025,22090.22246,7382.985538,13258.46126,35148.78153,14895.80446,16683.58951
Malheur,2025,6803.476217,2320.007016,4305.641306,10380.88071,3722.824339,4765.8001
Marion,2025,71791.67737,24515.83976,45705.47195,106468.5249,38233.86998,42142.26693
Morrow,2025,2699.503298,921.19542,1322.869252,3683.429328,1466.676182,1421.310941
Multnomah,2025,131299.6743,42696.63486,126789.5099,286700.958,90439.25438,79779.5216
Polk,2025,15579.98792,6131.572779,11055.41848,23688.79933,10182.22143,11153.83441
Sherman,2025,295.400465,97.53728794,174.3902173,573.3915764,279.1496753,398.8285413
Tillamook,2025,4054.384044,1523.150139,2525.401777,7873.848358,4513.447321,5538.270062
Umatilla,2025,17090.48056,5792.834914,10549.72939,25334.19868,9484.271248,10060.68352
Union,2025,4957.817903,1968.035903,3675.340767,7729.078737,3833.624,4431.337404
Wallowa,2025,1129.678899,327.1789792,676.0391548,2070.883508,1372.479923,1641.857288
Wasco,2025,4996.63798,1727.28852,2985.643611,7917.651872,3859.087762,4516.431365
Washington,2025,117292.095,35211.63738,74889.1309,203668.3889,60040.72593,54723.73984
Wheeler,2025,218.6032727,78.71353737,96.99081917,376.9913658,257.2548722,455.256206
Yamhill,2025,20874.53974,7993.699667,13756.42148,33997.75599,12345.8348,13461.01244
Baker,2030,2702.411523,999.0927168,1603.234958,5139.821641,2764.302864,3635.985766
Benton,2030,13786.0288,9796.760461,21624.06163,27988.36527,12031.29193,11668.06348
Clackamas,2030,75343.36378,27075.61069,42241.69944,137074.5072,56265.02361,53321.72832
Clatsop,2030,6484.682912,2467.463852,4781.108093,12124.64147,6407.271657,6316.146177
Columbia,2030,9909.548061,3508.044576,5249.334115,17752.76555,7677.362937,7348.166218
Coos,2030,10116.53965,3991.912869,6898.574994,19853.19763,10818.06304,13926.59821
Crook,2030,4010.328519,1310.175786,2060.461063,6837.526981,3397.110532,4261.365662
Curry,2030,2900.762139,1147.840757,1859.900513,6308.41411,4441.771293,6607.706608
Deschutes,2030,30841.33239,9986.603573,19037.90642,56601.98403,23508.65207,24366.18173
Douglas,2030,18637.58631,7097.744573,11878.38309,33791.46757,17646.55353,23028.69988
Gilliam,2030,288.974696,113.606187,145.9999889,642.4993061,333.6146736,421.5435487
Grant,2030,1218.341311,449.4427363,663.5257867,2290.281384,1365.576562,1776.970436
Harney,2030,1354.599629,547.0939652,767.1240499,2433.940175,1218.552127,1427.216733
Hood River,2030,4941.159835,1602.418875,2679.932646,8281.251645,2860.369257,2932.48624
Jackson,2030,38753.04109,14080.56648,26385.58071,67161.87712,31882.92361,37530.07325
Jefferson,2030,4695.000755,1600.969645,2614.076684,7205.357896,2986.598113,3534.726964
Josephine,2030,13468.59419,5121.625223,8059.716669,24064.6654,13188.62728,18082.38807
Klamath,2030,12770.17277,4762.246914,8395.039791,21343.58575,10238.5812,11706.72909
Lake,2030,1206.04004,499.4018787,771.7835258,2705.742706,1378.268187,1650.432634
Lane,2030,60007.39645,25804.85979,56378.55271,117216.9407,51997.29009,54956.12574
Lincoln,2030,6766.039365,2491.576827,4658.173795,14538.14635,9103.224765,10458.72585
Linn,2030,22312.01007,7457.111304,13391.57727,35501.67811,15045.35953,16851.09409
Malheur,2030,6871.783663,2343.300072,4348.870289,10485.10558,3760.201793,4813.649115
Marion,2030,72512.47156,24761.98076,46164.35855,107537.4774,38617.74109,42565.37866
Morrow,2030,2726.606528,930.4442958,1336.150966,3720.411253,1481.401729,1435.581017
Multnomah,2030,132617.9335,43125.31249,128062.4867,289579.4586,91347.27174,80580.51439
Polk,2030,15736.41225,6193.134261,11166.41576,23926.63677,10284.45175,11265.8198
Sherman,2030,298.3663093,98.51657013,176.1411091,579.1484738,281.9523604,402.8328118
Tillamook,2030,4095.090384,1538.442688,2550.757013,7952.902426,4558.762693,5593.874737
Umatilla,2030,17262.07035,5850.995441,10655.64952,25588.55607,9579.494091,10161.69358
Union,2030,5007.594792,1987.795141,3712.241482,7806.679306,3872.113892,4475.828387
Wallowa,2030,1141.020965,330.4638824,682.826642,2091.675344,1386.259731,1658.341667
Wasco,2030,5046.804626,1744.630635,3015.619712,7997.14573,3897.833312,4561.776697
Washington,2030,118469.717,35565.16503,75641.02377,205713.2358,60643.53963,55273.17057
Wheeler,2030,220.7980671,79.50382759,97.96461476,380.7763893,259.8377317,459.8270147
Yamhill,2030,21084.12179,8073.957052,13894.53705,34339.09619,12469.78797,13596.16208
Baker,2035,2729.543951,1009.123688,1619.331565,5191.425862,2792.056687,3672.491354
Benton,2035,13924.44163,9895.120721,21841.16894,28269.3707,12152.08706,11785.21177
Clackamas,2035,76099.81719,27347.45199,42665.80949,138450.7463,56829.92896,53857.08274
Clatsop,2035,6549.789648,2492.237387,4829.110801,12246.37385,6471.601177,6379.56079
Columbia,2035,10009.04072,3543.265625,5302.03785,17931.00474,7754.444276,7421.942396
Coos,2035,10218.11052,4031.991994,6967.83724,20052.52533,10926.67726,14066.42237
Crook,2035,4050.592539,1323.330056,2081.148257,6906.1763,3431.217794,4304.150115
Curry,2035,2929.886023,1159.365171,1878.574063,6371.751093,4486.367033,6674.048512
Deschutes,2035,31150.98184,10086.86987,19229.04853,57170.27248,23744.68082,24610.82014
Douglas,2035,18824.70917,7169.006497,11997.643,34130.73661,17823.72634,23259.90987
Gilliam,2035,291.8760251,114.7468022,147.4658405,648.9500505,336.9641917,425.7758797
Grant,2035,1230.573555,453.9551774,670.1876388,2313.275992,1379.28706,1794.811362
Harney,2035,1368.199918,552.5868324,774.8260368,2458.377129,1230.786488,1441.546104
Hood River,2035,4990.769475,1618.507289,2706.839384,8364.396075,2889.087594,2961.928637
Jackson,2035,39142.12472,14221.9365,26650.49405,67836.18774,32203.03072,37906.87819
Jefferson,2035,4742.138939,1617.043508,2640.322223,7277.700266,3016.583797,3570.215905
Josephine,2035,13603.81996,5173.046751,8140.63687,24306.27656,13321.04215,18263.9367
Klamath,2035,12898.38633,4810.060254,8479.326663,21557.87706,10341.37737,11824.26558
Lake,2035,1218.148779,504.4159136,779.5322942,2732.90858,1392.10611,1667.003109
Lane,2035,60609.87551,26063.94265,56944.59789,118393.8081,52519.34705,55507.88964
Lincoln,2035,6833.970942,2516.592458,4704.942233,14684.1105,9194.621871,10563.73229
Linn,2035,22536.02443,7531.981298,13526.02978,35858.1178,15196.41614,17020.28042
Malheur,2035,6940.776922,2366.826993,4392.533295,10590.37688,3797.95452,4861.978538
Marion,2035,73240.50259,25010.59303,46627.8524,108617.1623,39005.46631,42992.73847
Morrow,2035,2753.981876,939.7860311,1349.566028,3757.76448,1496.275121,1449.994365
Multnomah,2035,133949.4282,43558.29408,129348.2444,292486.8595,92264.40566,81389.5492
Polk,2035,15894.40709,6255.313825,11278.52747,24166.86212,10387.70847,11378.92953
Sherman,2035,301.3619309,99.50568438,177.9095799,584.9631708,284.7831847,406.8772855
Tillamook,2035,4136.20542,1553.888776,2576.366818,8032.750203,4604.533036,5650.037688
Umatilla,2035,17435.38292,5909.739903,10762.63309,25845.46722,9675.672978,10263.7178
Union,2035,5057.871445,2007.752764,3749.512684,7885.058992,3910.990226,4520.766062
Wallowa,2035,1152.476907,333.7817662,689.6822762,2112.675932,1400.17789,1674.99155
Wasco,2035,5097.474948,1762.146866,3045.896776,8077.437714,3936.96787,4607.577301
Washington,2035,119659.1625,35922.24214,76400.46571,207778.6132,61252.40562,55828.11763
Wheeler,2035,223.0148973,80.30205238,98.94818734,384.5994148,262.4465233,464.4437148
Yamhill,2035,21295.80806,8155.020228,14034.03932,34683.86346,12594.98564,13732.66864
Baker,2040,2756.948791,1019.25537,1635.589784,5243.548193,2820.089159,3709.363461
Benton,2040,14064.24414,9994.468525,22060.45602,28553.19745,12274.09499,11903.53624
Clackamas,2040,76863.86545,27622.02259,43094.17763,139840.8028,57400.50599,54397.81217
Clatsop,2040,6615.55006,2517.25965,4877.595461,12369.32842,6536.576571,6443.612091
Columbia,2040,10109.53229,3578.840296,5355.270735,18111.03346,7832.299518,7496.459292
Coos,2040,10320.70117,4072.473517,7037.794883,20253.85429,11036.38197,14207.65038
Crook,2040,4091.260812,1336.616396,2102.043152,6975.514863,3465.667495,4347.364127
Curry,2040,2959.302313,1171.00529,1897.435097,6435.723984,4531.410517,6741.056493
Deschutes,2040,31463.74019,10188.14285,19422.10971,57744.26659,23983.07932,24857.91475
Douglas,2040,19013.71076,7240.983896,12118.1003,34473.41194,18002.67798,23493.44123
Gilliam,2040,294.8064838,115.8988693,148.9464093,655.465561,340.3473391,430.0507036
Grant,2040,1242.928612,458.5129237,676.9163763,2336.501469,1393.135213,1812.831411
Harney,2040,1381.936755,558.1348485,782.6053523,2483.059432,1243.143683,1456.019342
Hood River,2040,5040.8772,1634.757232,2734.016269,8448.375281,2918.094265,2991.666637
Jackson,2040,39535.11479,14364.72588,26918.06715,68517.2685,32526.35173,38287.46629
Jefferson,2040,4789.750393,1633.278754,2666.831269,7350.76896,3046.87054,3606.061159
Josephine,2040,13740.4034,5224.984554,8222.369516,24550.31353,13454.78648,18447.30809
Klamath,2040,13027.88716,4858.353644,8564.459782,21774.31987,10445.20563,11942.98216
Lake,2040,1230.37909,509.4802897,787.3588609,2760.347201,1406.082967,1683.739954
Lane,2040,61218.40351,26325.62672,57516.32621,119582.4914,53046.6455,56065.1933
Lincoln,2040,6902.584557,2541.859248,4752.18023,14831.54015,9286.936611,10669.79301
